05/26/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		972		227		173		503		3087		0		0		
	2		972		222		173		503		3021		0		0		
	3		972		226		173		471		2925		0		0		
	4		974		230		174		464		2819		0		0		
	5		974		229		174		521		2522		0		0		
	6		974		228		174		580		2333		0		0		
	7		974		230		170		616		2246		1137		20		
	8		973		233		176		614		2317		3809		166		
	9		977		236		184		578		2284		5461		310		
	10		976		238		184		537		1977		6315		373		
	11		971		239		183		489		1962		7284		393		
	12		968		237		186		480		1923		7922		399		
	13		968		235		187		476		2108		8254		401		
	14		967		227		184		483		2327		8409		401		
	15		968		227		185		495		2612		8505		400		
	16		967		226		182		541		2859		8265		446		
	17		967		228		176		578		3112		7714		482		
	18		964		227		175		583		3179		6486		425		
	19		965		227		173		622		3368		3588		281		
	20		968		226		173		646		3517		591		33		
	21		971		224		173		626		3580		0		0		
	22		972		225		171		628		3329		0		0		
	23		973		218		171		639		3499		0		0		
	24		973		218		173		602		3642		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4658		1134		3219		8524		4971						
	2		4891		1134		2525		8251		4745						
	3		4767		1134		2316		8136		4706						
	4		4661		1134		2322		7992		4735						
	5		4419		1134		2363		8310		4985						
	6		4290		1134		2689		8979		5193						
	7		5393		1134		2488		9389		5277						
	8		8289		1133		2435		8047		5107						
	9		10030		1134		2637		7059		4764						
	10		10599		1134		2661		7293		4789						
	11		11521		1134		2702		6555		4761						
	12		12115		1134		2656		5808		4672						
	13		12630		1134		2669		4907		4568						
	14		12998		1134		2671		4407		4578						
	15		13392		1134		2688		3729		4706						
	16		13486		1134		2760		3561		4724						
	17		13257		1133		3033		4138		4357						
	18		12040		1131		3498		4478		4830						
	19		9224		1132		3768		6470		5480						
	20		6154		1132		4837		8717		5805						
	21		5574		1131		5238		9698		5812						
	22		5325		1131		4816		9922		5796						
	23		5501		1132		4103		9032		5618						
	24		5609		1131		3202		8182		5445						
