09/08/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		970		390		237		404		3584		0		0		
	2		969		389		237		402		3088		0		0		
	3		970		370		237		385		2900		0		0		
	4		973		342		238		376		2721		0		0		
	5		973		332		238		382		2686		0		0		
	6		973		324		238		402		2769		0		0		
	7		974		335		238		391		2820		142		0		
	8		975		355		238		375		3254		3170		43		
	9		974		366		239		378		3778		7225		182		
	10		970		366		239		372		3830		9210		285		
	11		968		357		238		371		3795		10161		323		
	12		965		356		234		395		3687		10426		335		
	13		964		363		234		407		3789		10484		369		
	14		962		365		236		405		3987		10437		433		
	15		962		365		236		404		4005		10376		420		
	16		961		369		236		403		3894		9981		387		
	17		960		372		235		403		4066		8941		382		
	18		960		370		235		414		4362		6227		299		
	19		961		368		235		449		4425		1563		69		
	20		964		369		234		470		4593		0		0		
	21		966		371		233		460		4312		0		0		
	22		967		365		234		459		4028		0		0		
	23		968		367		233		451		4185		0		0		
	24		971		366		233		405		4181		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5585		2252		5820		8174		3071						
	2		5085		2254		4539		8710		3023						
	3		3892		2256		4963		8810		2700						
	4		4650		2258		3440		8899		2676						
	5		4611		2260		3029		9137		2780						
	6		4706		2260		3005		9166		2852						
	7		4900		2258		2952		9130		2925						
	8		8410		2254		2400		6779		2446						
	9		13142		2254		1319		3862		2260						
	10		15272		2256		991		2350		2132						
	11		16213		2256		848		1665		2215						
	12		16398		2256		639		1967		2333						
	13		16610		2256		901		2145		2252						
	14		16825		2256		885		2900		2334						
	15		16768		2256		1542		3740		2353						
	16		16231		2257		2364		4933		2439						
	17		15359		2258		3731		5612		2577						
	18		12867		2261		5037		7448		3035						
	19		8070		2262		7302		9363		4092						
	20		6630		2263		7807		10185		4277						
	21		6342		2262		7652		10500		3947						
	22		6053		2261		7356		9695		3749						
	23		6204		2257		6469		8465		3407						
	24		6156		2257		5513		7679		3045						
