09/29/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		797		296		197		205		339		0		0		
	2		793		296		199		206		300		0		0		
	3		789		295		200		209		280		0		0		
	4		782		296		200		209		263		0		0		
	5		776		303		200		210		162		0		0		
	6		782		314		198		219		96		0		0		
	7		789		332		193		209		72		2		0		
	8		782		334		196		196		70		2122		69		
	9		779		333		204		186		71		6659		294		
	10		775		330		205		179		68		9131		368		
	11		777		323		202		166		93		9592		373		
	12		769		326		204		167		117		9765		369		
	13		765		334		188		177		130		9883		372		
	14		756		338		194		206		105		10007		371		
	15		749		346		202		257		106		9768		367		
	16		709		351		202		257		74		9432		361		
	17		694		361		203		266		95		8069		318		
	18		706		360		198		278		157		3816		172		
	19		647		358		199		274		274		302		0		
	20		737		358		203		276		612		0		0		
	21		749		356		197		239		798		0		0		
	22		750		355		204		221		888		0		0		
	23		750		341		205		216		876		0		0		
	24		752		336		206		212		957		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1798		2140		10916		9753		950						
	2		1760		2140		9597		9866		766						
	3		1738		2141		8347		10193		722						
	4		1717		2140		8079		10083		665						
	5		1619		2139		8103		10207		683						
	6		1571		2139		8665		10505		801						
	7		1581		2137		9484		10767		1251						
	8		3550		2138		9540		9850		1053						
	9		8318		2139		9126		7286		396						
	10		10994		2140		8952		5743		272						
	11		11524		2138		9365		5476		392						
	12		11712		2134		10392		5698		463						
	13		11839		2129		11376		6481		631						
	14		11967		2126		13271		6599		938						
	15		11801		2126		15034		7062		1412						
	16		11428		2127		16943		7443		1730						
	17		10135		2128		18654		7521		2453						
	18		5957		2130		20927		9306		2872						
	19		2115		2130		22157		10063		3108						
	20		2135		2130		20330		10406		2849						
	21		2300		2130		19599		8404		3096						
	22		2381		2130		18399		7734		2486						
	23		2355		2130		16522		7484		1772						
	24		2428		2132		13404		8298		1386						
