12/18/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		756		310		214		287		943		0		0		
	2		756		314		214		280		757		0		0		
	3		757		317		214		281		591		0		0		
	4		756		314		214		282		380		0		0		
	5		755		321		214		284		372		0		0		
	6		755		329		214		333		404		0		0		
	7		754		338		214		329		408		0		0		
	8		752		337		213		328		451		1119		0		
	9		744		338		211		272		400		2934		0		
	10		742		335		210		262		427		3825		0		
	11		742		331		209		261		271		4179		0		
	12		742		326		209		255		228		4692		0		
	13		741		313		209		253		242		4162		0		
	14		743		306		209		255		251		3962		0		
	15		745		307		210		263		334		3463		0		
	16		745		296		215		290		415		2638		0		
	17		746		318		216		321		371		284		0		
	18		747		323		218		366		437		0		0		
	19		747		329		219		370		584		0		0		
	20		748		341		219		371		812		0		0		
	21		748		344		223		320		1121		0		0		
	22		750		341		220		314		842		0		0		
	23		752		330		218		314		891		0		0		
	24		751		311		218		271		900		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2510		1140		10804		6427		1847						
	2		2321		1140		10176		6488		1725						
	3		2160		1140		10216		6219		1673						
	4		1946		1140		10301		6227		1785						
	5		1946		1141		10885		6071		2038						
	6		2035		1140		11625		6505		2506						
	7		2043		1152		12355		7867		3028						
	8		3200		1173		12795		7654		2934						
	9		4899		1233		12064		7056		2490						
	10		5801		1255		11883		6104		2287						
	11		5993		1293		11712		5518		2198						
	12		6452		1293		11610		5029		1502						
	13		5920		1319		11687		4964		1406						
	14		5726		1292		12063		4704		1353						
	15		5322		1294		12546		4981		1376						
	16		4599		1301		13084		5159		1990						
	17		2256		1303		14106		7070		3027						
	18		2091		1302		15018		8324		3356						
	19		2249		1304		14964		8319		3487						
	20		2491		1301		14172		8693		3291						
	21		2756		1304		13689		8277		3239						
	22		2467		1303		13031		8161		3185						
	23		2505		1304		11862		7545		2920						
	24		2451		1303		10987		7014		2392						
