02/16/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		978		335		210		155		3830		0		0		
	2		979		332		211		155		3256		0		0		
	3		980		336		213		155		3030		0		0		
	4		982		336		213		155		3044		0		0		
	5		990		332		213		156		3207		0		0		
	6		1004		334		212		160		3438		0		0		
	7		1006		325		211		197		3193		153		0		
	8		1005		322		210		159		3566		3016		18		
	9		1003		322		210		160		3584		7519		155		
	10		1001		320		208		161		3587		9103		187		
	11		1001		326		210		163		3551		9957		197		
	12		999		317		209		161		3704		10177		224		
	13		998		327		210		162		3967		9547		226		
	14		995		333		200		162		3960		8797		196		
	15		997		334		200		162		3757		8895		91		
	16		997		335		201		172		3762		7697		72		
	17		996		336		200		180		3738		3740		35		
	18		999		335		200		227		4002		254		0		
	19		999		337		200		233		4010		0		0		
	20		999		338		201		232		3617		0		0		
	21		1000		338		201		222		3340		0		0		
	22		1001		337		201		219		3350		0		0		
	23		1001		334		201		160		3569		0		0		
	24		1002		334		201		150		3499		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5485		1147		7756		5103		1158						
	2		4926		1147		7664		5261		1003						
	3		4683		1148		7852		5130		871						
	4		4695		1147		7928		5081		798						
	5		4843		1147		8533		4863		813						
	6		5114		1147		8872		5314		1132						
	7		5037		1147		9679		5607		2033						
	8		8069		1147		8861		4763		1625						
	9		12781		1148		6431		2948		923						
	10		14525		1148		5237		2517		204						
	11		15364		1148		4861		1125		227						
	12		15805		1148		4035		496		503						
	13		15474		1148		4175		127		445						
	14		14662		1148		5131		374		91						
	15		14481		1147		5283		657		-34						
	16		13326		1147		5698		1315		563						
	17		9467		1147		6975		4033		1562						
	18		6075		1147		8512		7089		2519						
	19		5756		1147		9683		7751		2704						
	20		5369		1148		9667		7685		2737						
	21		5079		1147		9366		7696		2545						
	22		5064		1147		8923		7507		2250						
	23		5231		1148		7949		7137		2047						
	24		5154		1151		7456		6393		1932						
