02/07/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		996		334		236		263		817		0		0		
	2		996		346		236		278		569		0		0		
	3		995		353		236		281		408		0		0		
	4		994		355		236		284		434		0		0		
	5		994		355		236		279		423		0		0		
	6		993		356		236		319		344		0		0		
	7		992		364		237		348		377		14		0		
	8		992		369		236		343		459		2021		14		
	9		978		370		235		304		399		6027		235		
	10		992		369		234		295		459		7767		364		
	11		990		374		233		290		546		7918		428		
	12		999		368		233		292		618		7744		424		
	13		997		369		234		286		703		7933		419		
	14		994		367		234		296		748		7972		419		
	15		993		367		235		295		656		7919		412		
	16		982		372		234		298		598		6787		353		
	17		975		373		235		340		527		2826		140		
	18		979		367		238		468		564		137		0		
	19		981		367		238		518		630		0		0		
	20		982		370		241		520		687		0		0		
	21		981		366		241		505		669		0		0		
	22		983		363		240		369		657		0		0		
	23		983		355		241		271		636		0		0		
	24		983		356		240		269		657		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2646		2060		5624		8891		1882						
	2		2425		2060		4910		9008		1908						
	3		2273		2061		4673		9172		1803						
	4		2303		2061		4842		8952		1789						
	5		2287		2061		5244		9126		1767						
	6		2248		2061		6439		9331		2053						
	7		2332		2060		8065		9351		2764						
	8		4434		2059		7286		9279		2497						
	9		8548		2059		5147		7450		1749						
	10		10480		2059		4044		6406		1413						
	11		10779		2058		4167		5871		1423						
	12		10678		2058		4284		5832		1363						
	13		10941		2058		4551		5912		1393						
	14		11030		2058		4503		6034		1552						
	15		10877		2059		4584		6246		1445						
	16		9624		2058		5490		6565		1703						
	17		5416		2058		7419		8845		2636						
	18		2753		2057		9814		10037		3162						
	19		2734		2055		10113		10595		3298						
	20		2800		2054		9727		10735		2854						
	21		2762		2055		9232		10290		2830						
	22		2612		2054		8625		10180		2312						
	23		2486		2053		7570		9717		2026						
	24		2505		2054		6431		9325		1838						
