03/01/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		967		317		216		137		728		0		0		
	2		958		315		216		138		549		0		0		
	3		911		316		217		137		403		0		0		
	4		915		312		217		137		332		0		0		
	5		829		286		217		143		303		0		0		
	6		748		277		215		180		286		0		0		
	7		706		275		208		184		239		603		0		
	8		694		276		202		144		283		5784		195		
	9		684		275		196		134		364		10493		346		
	10		649		266		203		135		510		11627		378		
	11		649		267		202		130		622		11785		372		
	12		662		271		203		95		655		11718		378		
	13		660		272		204		104		591		11717		377		
	14		670		274		199		103		508		11854		369		
	15		663		276		211		103		457		11752		345		
	16		664		280		212		142		406		10725		296		
	17		664		283		212		156		311		6406		173		
	18		667		281		213		210		254		874		1		
	19		674		280		209		218		257		4		0		
	20		680		280		213		217		342		0		0		
	21		686		280		213		201		643		0		0		
	22		678		281		219		155		715		0		0		
	23		673		279		221		137		761		0		0		
	24		689		278		221		137		839		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2331		1147		9006		6581		912						
	2		2147		1146		9080		6296		883						
	3		1948		1146		9330		6023		882						
	4		1878		1146		9575		5896		878						
	5		1742		1146		10078		5936		1277						
	6		1666		1146		11288		5674		1976						
	7		2097		1147		11972		6035		2425						
	8		7238		1147		9243		5305		1200						
	9		12354		1147		6103		2899		928						
	10		13738		1147		4793		2628		371						
	11		14032		1147		3992		2092		290						
	12		13980		1148		3674		1837		242						
	13		13922		1148		3874		1429		243						
	14		13976		1147		3879		1464		182						
	15		13838		1146		4392		1432		304						
	16		12826		1146		5296		2137		567						
	17		8538		1146		7539		4655		1079						
	18		2658		1146		12197		6742		2365						
	19		1644		1146		14271		7126		2756						
	20		1714		1146		14296		6563		2688						
	21		1992		1146		12889		7133		2416						
	22		2010		1146		11663		7714		2048						
	23		2030		1146		10704		7560		1664						
	24		2120		1146		10112		7201		1195						
