10/04/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		706		254		206		182		1502		0		0		
	2		707		253		206		179		1212		0		0		
	3		708		254		202		140		1093		0		0		
	4		710		253		206		140		946		0		0		
	5		711		255		207		157		789		0		0		
	6		711		268		207		180		485		0		0		
	7		712		281		207		219		316		0		0		
	8		711		280		206		184		246		1631		36		
	9		709		266		208		163		160		5544		275		
	10		706		283		208		143		19		7340		356		
	11		702		294		203		133		23		8533		365		
	12		697		242		205		170		15		9354		368		
	13		697		204		205		178		26		9544		367		
	14		694		204		205		185		67		9639		364		
	15		692		208		205		186		98		9440		348		
	16		689		229		205		195		91		8770		322		
	17		685		246		204		225		414		6674		280		
	18		690		244		205		240		766		2300		125		
	19		671		245		205		241		1492		121		0		
	20		648		243		205		231		1910		0		0		
	21		672		246		206		219		1996		0		0		
	22		688		246		206		206		1872		0		0		
	23		690		233		206		200		1708		0		0		
	24		698		221		204		184		1520		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2830		1111		9948		9507		1128						
	2		2542		1103		9128		9431		972						
	3		2368		1102		8473		9261		966						
	4		2225		1100		8350		8949		831						
	5		2091		1100		8242		8830		795						
	6		1826		1101		8291		8991		795						
	7		1717		1100		8193		9248		988						
	8		3119		1100		8039		8555		544						
	9		7165		1102		6703		6330		309						
	10		8993		1103		5920		5678		280						
	11		10211		1102		5826		5329		288						
	12		11030		1102		6652		5029		320						
	13		11212		1101		7405		6126		335						
	14		11358		1102		8696		7212		372						
	15		11198		1103		10034		7755		954						
	16		10549		1102		12219		8405		1321						
	17		8873		1103		14695		8714		1524						
	18		4773		1103		17828		9450		2300						
	19		2965		1104		18713		9803		2214						
	20		3192		1104		16652		10533		2294						
	21		3304		1103		15256		10281		1914						
	22		3193		1100		14064		9973		1444						
	23		3004		1099		12525		9632		1034						
	24		2811		1100		10727		9274		990						
