03/02/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		981		244		239		437		1167		0		0		
	2		980		243		240		438		1344		0		0		
	3		980		244		240		438		1409		0		0		
	4		981		245		240		439		1213		0		0		
	5		979		246		241		438		1358		0		0		
	6		978		247		240		444		1385		0		0		
	7		977		246		240		480		1434		69		0		
	8		977		247		239		444		1497		931		0		
	9		979		246		239		465		1614		2556		0		
	10		979		237		240		431		1722		4137		0		
	11		977		229		240		429		1840		5684		0		
	12		977		233		240		424		2033		6278		0		
	13		977		239		241		398		2077		5806		47		
	14		976		241		241		387		1964		5981		112		
	15		978		245		239		402		2033		6484		117		
	16		977		251		241		453		2346		6024		91		
	17		977		254		241		461		2196		3680		5		
	18		977		257		241		549		1975		453		0		
	19		977		255		241		561		1966		0		0		
	20		977		252		241		561		2025		0		0		
	21		977		252		241		533		1934		0		0		
	22		977		252		241		493		1953		0		0		
	23		978		246		240		460		1645		0		0		
	24		979		248		241		453		1693		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3068		1131		10093		3516		2966						
	2		3245		1131		8983		3860		2994						
	3		2331		1131		9445		3877		2842						
	4		3118		1131		8162		4146		2873						
	5		3262		1131		7969		4064		3128						
	6		3294		1132		8254		3968		3475						
	7		3446		1132		8570		4263		3434						
	8		4335		1132		8405		4195		3301						
	9		6099		1132		8291		3432		3154						
	10		7746		1132		7699		2969		2877						
	11		9399		1131		7017		2262		2726						
	12		10185		1131		6284		2244		2715						
	13		9785		1131		6080		2653		2704						
	14		9902		1130		5868		2415		2779						
	15		10498		1130		5015		2240		2823						
	16		10383		1130		5193		2193		2898						
	17		7814		1131		6646		3537		3150						
	18		4452		1131		10130		4498		3637						
	19		4000		1131		12101		4328		3778						
	20		4056		1131		11268		4842		3797						
	21		3937		1131		10753		5042		3588						
	22		3916		1131		9871		5136		3520						
	23		3569		1131		9737		4587		3414						
	24		3614		1131		9271		4059		3075						
