01/11/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		946		353		220		125		182		0		0		
	2		948		350		220		124		261		0		0		
	3		950		352		220		124		353		0		0		
	4		940		349		220		130		473		0		0		
	5		857		349		220		131		487		0		0		
	6		858		342		217		133		488		0		0		
	7		858		336		218		145		559		0		0		
	8		833		332		218		182		548		1544		0		
	9		821		332		218		181		452		6099		130		
	10		823		328		218		137		390		8087		213		
	11		821		328		219		122		481		8373		234		
	12		818		327		219		130		650		8612		241		
	13		796		330		217		133		656		8668		241		
	14		794		332		221		137		565		8550		222		
	15		791		333		221		129		387		8090		161		
	16		794		332		220		135		296		5731		99		
	17		804		337		221		192		298		1216		13		
	18		832		332		221		193		318		0		0		
	19		855		332		218		185		364		0		0		
	20		858		332		219		190		498		0		0		
	21		856		332		216		157		656		0		0		
	22		866		333		215		151		800		0		0		
	23		900		329		216		127		934		0		0		
	24		904		331		216		123		913		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1780		1143		8891		8079		555						
	2		1862		1142		8708		7554		599						
	3		1954		1142		8477		7509		573						
	4		2071		1143		8332		7591		606						
	5		2002		1143		8683		8181		500						
	6		1993		1144		9336		8840		727						
	7		2074		1143		10393		9457		1251						
	8		3473		1143		10720		9299		1358						
	9		8026		1144		9048		7155		674						
	10		10172		1144		6880		6207		485						
	11		10558		1142		6316		5284		461						
	12		10989		1142		5940		4343		469						
	13		11044		1141		5830		3703		547						
	14		10841		1140		5802		3823		548						
	15		10175		1139		6312		4466		515						
	16		7807		1140		7774		6353		556						
	17		3254		1140		10344		8968		1263						
	18		1893		1141		12491		10132		1795						
	19		1926		1140		12575		10395		1685						
	20		2072		1140		11869		10279		1711						
	21		2194		1142		11287		10047		1551						
	22		2339		1141		10404		10214		1127						
	23		2485		1141		9525		9713		828						
	24		2473		1141		8724		9229		669						
