07/28/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		922		262		188		173		1724		0		0		
	2		922		261		188		181		1943		0		0		
	3		884		284		188		173		2023		0		0		
	4		868		288		188		171		1817		0		0		
	5		868		289		188		171		1461		0		0		
	6		891		284		188		190		1244		0		0		
	7		924		294		187		192		1016		898		0		
	8		923		284		187		187		644		4661		49		
	9		914		267		191		133		499		8541		254		
	10		910		273		191		165		326		9780		354		
	11		911		289		191		172		279		10840		365		
	12		914		296		191		177		341		11399		247		
	13		910		299		188		181		481		10736		6		
	14		908		302		195		194		833		11066		2		
	15		907		303		196		196		819		10789		0		
	16		906		301		187		242		1097		10799		0		
	17		908		295		183		282		1894		9860		58		
	18		906		296		175		323		2379		8483		64		
	19		904		298		175		328		2487		4459		13		
	20		910		299		182		327		2634		574		0		
	21		914		299		197		326		3151		0		0		
	22		915		298		198		278		3323		0		0		
	23		915		293		197		222		3430		0		0		
	24		916		288		199		207		3506		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3206		2264		13814		7620		1074						
	2		3443		2264		12622		7281		825						
	3		3513		2264		12135		7050		624						
	4		3309		2265		11974		7072		473						
	5		2952		2265		11825		7308		627						
	6		2755		2265		12867		7106		579						
	7		3406		2264		13498		6246		917						
	8		6714		2264		12959		5474		558						
	9		10683		2264		12433		3952		306						
	10		11950		2263		12480		2877		306						
	11		12980		2262		12979		1777		581						
	12		13619		2263		13673		1528		967						
	13		12777		2265		16049		1076		1209						
	14		13488		2266		17665		320		1398						
	15		13222		2266		19807		-279		1848						
	16		13523		2268		21023		-453		2522						
	17		13486		2267		21824		-239		2857						
	18		12722		2267		22942		-6		2971						
	19		8924		2267		23940		2178		3392						
	20		5004		2267		24868		3609		3627						
	21		4834		2267		23385		4382		3234						
	22		4956		2265		21469		4978		2729						
	23		5013		2264		17966		6524		1945						
	24		5081		2265		15714		5804		1984						
