09/12/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		912		336		198		202		837		0		0		
	2		912		335		199		202		848		0		0		
	3		912		335		199		202		823		0		0		
	4		913		334		199		203		710		0		0		
	5		913		336		199		204		485		0		0		
	6		912		337		198		199		361		0		0		
	7		912		350		197		194		261		41		0		
	8		910		348		195		149		150		1393		0		
	9		907		349		197		157		84		4211		40		
	10		901		349		197		157		66		6613		250		
	11		896		348		195		153		49		8208		346		
	12		893		358		194		156		81		9161		359		
	13		890		358		199		157		141		9493		359		
	14		888		355		203		160		174		9692		365		
	15		890		357		206		170		244		9292		369		
	16		889		359		207		207		246		8133		362		
	17		889		360		208		215		226		6158		327		
	18		892		360		206		277		244		3228		242		
	19		892		359		201		260		237		612		38		
	20		895		360		208		257		165		0		0		
	21		895		372		209		249		155		0		0		
	22		899		366		208		213		224		0		0		
	23		902		355		208		210		298		0		0		
	24		902		342		205		213		343		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2454		2239		9643		8752		951						
	2		2466		2240		8804		8786		783						
	3		2446		2239		8157		9097		584						
	4		2336		2238		8003		8772		629						
	5		2111		2240		8293		8671		540						
	6		1978		2241		8498		8842		536						
	7		1944		2241		8408		9191		708						
	8		3035		2242		7616		9314		442						
	9		5793		2243		6793		8167		144						
	10		8427		2243		5858		6830		98						
	11		10126		2244		5084		6250		90						
	12		11168		2245		5086		5501		123						
	13		11581		2245		5242		5552		198						
	14		11833		2242		5938		5842		297						
	15		11565		2240		6971		6277		670						
	16		10476		2241		8322		7312		883						
	17		8509		2242		9941		8335		1288						
	18		5610		2241		11179		9619		2162						
	19		2699		2240		12967		10195		2858						
	20		1858		2242		13185		10691		2952						
	21		1854		2243		12336		10749		2579						
	22		1879		2243		11323		10468		2313						
	23		1932		2243		11126		9701		1578						
	24		1969		2244		11220		8531		1168						
