01/11/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		992		199		166		213		2177		0		0		
	2		993		199		161		216		2613		0		0		
	3		995		199		160		223		2540		0		0		
	4		996		201		161		224		2370		0		0		
	5		996		199		161		224		2550		0		0		
	6		997		200		160		261		1985		0		0		
	7		998		198		162		279		1653		0		0		
	8		994		199		160		291		1802		443		0		
	9		991		201		160		275		1965		2514		0		
	10		990		203		159		257		2096		4385		0		
	11		990		213		160		250		2197		5348		0		
	12		989		215		160		244		2280		5219		0		
	13		988		218		160		227		2079		5380		0		
	14		988		220		159		256		2161		5131		0		
	15		989		196		161		277		1823		4887		0		
	16		989		214		161		279		1551		2971		0		
	17		993		218		161		299		1460		476		0		
	18		999		209		160		332		1303		0		0		
	19		999		213		159		293		1253		0		0		
	20		1000		212		161		292		1151		0		0		
	21		999		207		161		287		1100		0		0		
	22		999		206		161		277		1040		0		0		
	23		999		202		160		272		1046		0		0		
	24		999		205		161		270		963		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3746		2269		8349		5676		2045						
	2		4181		2268		7750		5313		1885						
	3		4118		2268		7358		5323		1958						
	4		3952		2269		7091		5678		2053						
	5		4129		2267		7147		5915		2018						
	6		3603		2261		8165		6670		2058						
	7		3289		2261		9518		7657		2218						
	8		3889		2262		10127		8071		2228						
	9		6105		2262		9292		7034		1974						
	10		8090		2263		8998		5300		1873						
	11		9158		2262		8477		4492		1830						
	12		9108		2262		8276		4386		1842						
	13		9053		2262		8363		3963		1959						
	14		8916		2262		8485		3770		2001						
	15		8334		2262		8665		4263		2027						
	16		6165		2264		9494		5707		2247						
	17		3608		2262		10983		7546		2449						
	18		3004		2263		13067		7904		2971						
	19		2918		2263		13419		8095		3000						
	20		2816		2262		12517		8637		2938						
	21		2753		2263		11655		8898		2838						
	22		2683		2263		10853		8538		2664						
	23		2680		2263		9314		8116		2548						
	24		2597		2263		8003		7710		2441						
