11/20/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		978		217		199		189		1114		0		0		
	2		979		225		199		191		1377		0		0		
	3		981		228		195		191		1446		0		0		
	4		979		228		198		192		982		0		0		
	5		979		228		194		200		881		0		0		
	6		979		220		197		200		951		0		0		
	7		979		222		197		209		1087		144		0		
	8		979		223		197		192		1050		2643		0		
	9		978		223		198		174		841		5826		0		
	10		977		224		198		166		817		6016		160		
	11		975		224		196		130		834		6427		34		
	12		973		215		194		130		826		6507		0		
	13		972		207		195		169		557		6459		0		
	14		970		208		199		171		359		5347		0		
	15		970		207		199		174		266		4276		0		
	16		972		207		198		179		259		2290		0		
	17		973		210		201		242		325		237		0		
	18		972		207		201		244		402		0		0		
	19		970		206		201		244		380		0		0		
	20		972		208		201		210		388		0		0		
	21		971		208		200		194		417		0		0		
	22		1002		208		200		202		436		0		0		
	23		1025		208		200		179		413		0		0		
	24		1024		207		199		174		477		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2663		1117		8627		7804		971						
	2		2911		1117		8080		7548		828						
	3		3033		1116		7879		7301		838						
	4		2556		1117		8415		7256		854						
	5		2442		1116		9057		7080		938						
	6		2508		1116		10560		6612		1134						
	7		2790		1116		10894		7515		1405						
	8		5104		1115		10663		6510		1074						
	9		8164		1115		8283		5847		752						
	10		8523		1117		8101		4756		840						
	11		8830		1116		8005		4191		929						
	12		8858		1117		8536		3834		762						
	13		8588		1118		8375		4223		789						
	14		7322		1117		8933		4984		1012						
	15		6156		1117		10268		5509		904						
	16		4225		1117		11783		6302		1256						
	17		2237		1115		14013		6509		1800						
	18		1990		1115		15237		6849		2224						
	19		1974		1116		14699		7300		2104						
	20		1952		1115		13807		7733		1885						
	21		1959		1115		13319		7638		1701						
	22		2017		1116		12534		7638		1570						
	23		1997		1116		11401		7675		1442						
	24		2044		1117		10280		7504		1239						
