06/05/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		993		375		243		347		3426		0		0		
	2		995		374		244		345		3556		0		0		
	3		995		375		244		346		3268		0		0		
	4		996		376		240		347		3424		0		0		
	5		997		381		239		347		3392		0		0		
	6		997		389		239		488		3189		0		0		
	7		998		394		243		500		2890		1526		40		
	8		994		395		238		520		2432		5113		200		
	9		992		393		239		529		1945		7637		474		
	10		988		381		239		528		1579		8763		555		
	11		968		379		242		429		1420		9488		584		
	12		913		379		240		428		1320		9871		597		
	13		893		382		241		431		1438		9946		579		
	14		912		381		243		427		1719		9882		508		
	15		948		382		241		431		2120		9628		298		
	16		948		389		243		450		2675		9137		268		
	17		946		397		238		537		3104		8354		255		
	18		946		393		235		550		3192		6880		244		
	19		971		394		236		542		3282		3902		148		
	20		979		393		239		577		3240		804		7		
	21		982		393		242		566		3412		0		0		
	22		985		391		241		512		3436		0		0		
	23		986		373		241		489		3734		0		0		
	24		987		367		243		395		4170		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5384		2281		3793		9163		3194						
	2		5514		2281		2996		8974		2899						
	3		4233		2280		3483		9151		2743						
	4		5383		2280		2334		8797		2739						
	5		5356		2280		2372		8881		2902						
	6		5302		2281		2476		9421		3314						
	7		6591		2280		2676		9259		3379						
	8		9892		2280		2710		7713		2831						
	9		12209		2280		2821		5767		2817						
	10		13033		2280		2302		5641		2752						
	11		13510		2279		2519		4987		2794						
	12		13748		2279		2770		4721		2704						
	13		13910		2279		2981		4609		2748						
	14		14072		2278		3189		4875		2733						
	15		14048		2278		4094		4613		2638						
	16		14110		2278		5138		4004		2715						
	17		13831		2279		5555		4186		3270						
	18		12440		2280		6562		5200		3477						
	19		9475		2281		8179		6800		3703						
	20		6239		2280		8986		9068		3819						
	21		5595		2279		9187		9982		3677						
	22		5565		2279		8143		10005		3662						
	23		5823		2278		6393		9287		3455						
	24		6162		2279		4601		8602		3240						
