01/04/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		990		293		227		181		335		0		0		
	2		990		292		228		175		359		0		0		
	3		989		292		229		138		377		0		0		
	4		989		292		226		141		431		0		0		
	5		990		294		227		181		380		0		0		
	6		990		297		229		181		328		0		0		
	7		990		296		228		184		271		0		0		
	8		991		293		228		195		248		1310		14		
	9		990		292		229		209		231		5327		251		
	10		987		291		230		132		218		7523		357		
	11		986		276		231		128		216		7831		379		
	12		985		266		230		128		212		7719		387		
	13		985		259		228		133		240		7768		385		
	14		984		254		228		130		161		7844		382		
	15		982		258		232		130		54		7380		350		
	16		982		257		231		209		156		4793		234		
	17		985		261		231		256		217		839		10		
	18		985		267		232		311		244		0		0		
	19		986		270		231		317		244		0		0		
	20		987		269		228		313		287		0		0		
	21		988		255		227		259		416		0		0		
	22		986		255		229		252		488		0		0		
	23		985		251		229		218		534		0		0		
	24		984		250		231		208		533		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2026		2268		7501		8611		2040						
	2		2044		2269		7289		8195		1847						
	3		1036		2269		8204		8023		1722						
	4		2079		2269		7166		7987		1734						
	5		2072		2270		7155		8524		1886						
	6		2025		2271		7778		9077		2307						
	7		1969		2273		8976		9896		2601						
	8		3279		2273		8914		9664		2599						
	9		7529		2273		7340		7142		2094						
	10		9738		2273		5956		5880		1645						
	11		10047		2273		5408		5317		1417						
	12		9927		2273		4649		5374		1357						
	13		9998		2273		4497		4960		1337						
	14		9983		2272		4629		4783		1334						
	15		9386		2273		5027		5133		1421						
	16		6862		2272		6421		6314		2158						
	17		2799		2271		9174		8740		2684						
	18		2039		2271		10783		9640		3311						
	19		2048		2271		10783		10002		3253						
	20		2084		2271		10556		9838		3165						
	21		2145		2271		10370		9740		2755						
	22		2210		2271		9335		10056		2377						
	23		2217		2272		8464		9502		2275						
	24		2206		2271		8077		8322		2260						
