02/02/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		890		360		224		218		449		0		0		
	2		890		360		224		222		467		0		0		
	3		891		358		225		222		494		0		0		
	4		892		360		225		221		466		0		0		
	5		893		358		226		218		553		0		0		
	6		893		366		226		231		583		0		0		
	7		895		370		225		235		735		29		0		
	8		897		374		223		240		999		1830		4		
	9		894		374		224		227		1417		5658		71		
	10		884		355		223		213		1263		7029		99		
	11		890		346		223		210		1734		7065		134		
	12		892		358		218		206		2521		7279		134		
	13		891		352		222		190		3362		6542		133		
	14		891		355		222		191		3905		6032		132		
	15		889		359		222		189		3922		6968		132		
	16		892		363		222		190		3999		5722		67		
	17		892		374		222		226		3663		2214		42		
	18		892		373		223		253		3212		87		42		
	19		894		373		222		282		3220		0		31		
	20		894		368		223		284		2935		0		0		
	21		896		374		222		231		2442		0		0		
	22		896		372		223		223		2430		0		0		
	23		897		365		221		217		2301		0		0		
	24		897		354		222		178		2533		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2141		2271		6327		8659		919						
	2		2163		2271		6143		8555		742						
	3		2190		2271		5938		8593		575						
	4		2164		2271		5872		8458		581						
	5		2248		2270		5876		8367		589						
	6		2299		2271		6020		8525		762						
	7		2489		2272		6213		8848		768						
	8		4567		2271		5920		7452		583						
	9		8865		2271		4460		4923		299						
	10		10066		2272		4509		3512		215						
	11		10602		2271		4397		2362		147						
	12		11608		2270		4034		1158		160						
	13		11692		2270		4049		514		240						
	14		11728		2271		4138		483		289						
	15		12681		2271		4071		581		204						
	16		11455		2271		4472		1761		569						
	17		7633		2271		5028		5229		1448						
	18		5082		2272		6128		8522		1911						
	19		5022		2272		6351		9272		1961						
	20		4704		2271		6593		9328		1993						
	21		4165		2272		7091		8844		2603						
	22		4144		2274		6830		9052		1926						
	23		4001		2273		6243		8718		1463						
	24		4184		2273		5896		7962		1077						
