08/12/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		971		234		177		413		2822		0		0		
	2		972		233		178		423		2813		0		0		
	3		974		234		178		441		2625		0		0		
	4		973		234		178		399		2483		0		0		
	5		975		233		178		370		2491		0		0		
	6		976		236		178		398		2302		0		0		
	7		977		241		178		412		2317		308		0		
	8		976		240		179		381		2323		2941		86		
	9		974		239		180		372		1898		6338		362		
	10		971		239		180		392		1171		7876		530		
	11		968		239		180		428		890		8575		542		
	12		966		238		180		443		848		8781		452		
	13		964		239		180		443		965		8739		483		
	14		963		240		179		470		1251		8882		526		
	15		963		244		174		540		1739		8739		556		
	16		964		244		172		542		2141		8094		564		
	17		962		244		172		566		2799		7370		551		
	18		961		243		178		606		3065		5651		491		
	19		962		244		179		607		2919		2631		271		
	20		965		243		176		606		2810		254		2		
	21		968		241		173		554		3032		0		0		
	22		973		242		177		520		3123		0		0		
	23		974		240		176		485		3146		0		0		
	24		973		237		175		436		3237		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4540		2271		9465		7582		3824						
	2		4619		2271		8308		7307		3623						
	3		4452		2271		7027		7533		3649						
	4		4267		2271		6725		7355		3541						
	5		4247		2271		6460		7344		3599						
	6		4090		2271		6779		7309		3686						
	7		4433		2271		6145		7864		3744						
	8		7125		2271		5333		7337		3256						
	9		10362		2271		4924		5906		2985						
	10		11360		2271		5069		5830		3040						
	11		11822		2270		4975		6310		3296						
	12		11908		2269		5437		6826		3568						
	13		12013		2268		6430		6634		4148						
	14		12511		2268		7320		6486		4380						
	15		12955		2268		7924		6733		4457						
	16		12722		2268		9136		6669		4665						
	17		12664		2269		10245		6136		4873						
	18		11196		2268		11495		6720		5029						
	19		7812		2267		13121		7950		5193						
	20		5056		2267		14055		8470		5283						
	21		4968		2268		12630		9498		5079						
	22		5035		2268		10974		9247		5203						
	23		5021		2268		10067		8043		4791						
	24		5058		2270		8046		7740		4621						
