04/15/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		973		280		214		468		3502		0		0		
	2		972		276		214		464		3486		0		0		
	3		974		273		214		461		3083		0		0		
	4		968		277		215		454		2989		0		0		
	5		946		280		214		457		2849		0		0		
	6		933		277		215		436		2988		0		0		
	7		928		276		214		446		3071		234		0		
	8		931		275		214		447		2990		2789		0		
	9		931		277		207		444		3097		6950		29		
	10		931		274		208		441		3223		8645		82		
	11		929		268		208		431		3011		8935		74		
	12		931		272		209		431		2872		9099		66		
	13		939		271		209		432		3041		8779		73		
	14		932		266		210		432		3244		9228		74		
	15		937		264		205		436		3720		9091		88		
	16		947		274		213		440		3604		8299		101		
	17		946		286		213		444		3747		6628		87		
	18		945		286		213		441		3443		4453		107		
	19		946		279		214		500		3238		1346		40		
	20		939		275		214		504		2829		22		0		
	21		927		276		214		498		2486		0		0		
	22		906		276		214		494		2347		0		0		
	23		893		277		214		435		2598		0		0		
	24		896		276		213		425		3141		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5437		2283		3089		5077		3824						
	2		5412		2283		2803		4767		3794						
	3		4031		2284		3836		4829		3774						
	4		4903		2285		2957		4771		3804						
	5		4746		2284		3217		5110		3926						
	6		4849		2286		3734		5847		3997						
	7		5169		2287		4253		6864		4088						
	8		7646		2286		4091		5607		3973						
	9		11935		2285		3523		2598		3590						
	10		13804		2286		2804		1147		3437						
	11		13856		2284		2641		958		3150						
	12		13880		2283		2718		399		3217						
	13		13744		2283		2472		720		3133						
	14		14386		2282		2665		181		3061						
	15		14741		2283		2545		211		3176						
	16		13878		2284		2953		791		3525						
	17		12351		2284		3761		1927		3655						
	18		9888		2285		5116		3692		3937						
	19		6563		2286		6471		6254		3973						
	20		4783		2284		8178		7376		4051						
	21		4401		2282		8234		7897		4030						
	22		4237		2284		7437		7703		3990						
	23		4417		2283		6301		6791		3902						
	24		4951		2284		4864		6015		3785						
