11/28/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		748		335		224		258		729		0		0		
	2		748		337		224		262		612		0		0		
	3		748		336		225		263		546		0		0		
	4		747		344		223		264		369		0		0		
	5		747		350		223		291		377		0		0		
	6		748		361		225		310		371		0		0		
	7		748		357		225		313		456		0		0		
	8		747		373		225		300		619		1001		0		
	9		746		377		226		275		666		2186		0		
	10		745		354		225		271		633		3279		136		
	11		744		350		226		259		681		4080		90		
	12		744		353		225		244		771		3897		0		
	13		744		349		225		240		752		3021		0		
	14		745		355		225		236		718		2342		0		
	15		745		338		222		246		714		1435		0		
	16		746		341		225		281		607		644		0		
	17		746		341		224		342		526		47		0		
	18		746		338		225		351		442		0		0		
	19		746		318		225		351		425		0		0		
	20		746		311		225		352		470		0		0		
	21		746		316		224		331		542		0		0		
	22		746		333		224		289		692		0		0		
	23		746		339		224		285		837		0		0		
	24		746		339		213		265		875		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2294		1121		7965		8648		1682						
	2		2183		1121		8034		8364		1263						
	3		2118		1122		8180		8158		962						
	4		1947		1122		8129		8120		957						
	5		1988		1121		8014		8038		1204						
	6		2015		1122		8121		8086		1539						
	7		2099		1123		8586		8358		1591						
	8		3265		1123		8389		7797		1734						
	9		4476		1123		8655		7559		1449						
	10		5643		1123		8522		7100		1453						
	11		6430		1124		8303		6886		1454						
	12		6234		1124		8512		7289		1333						
	13		5331		1123		9296		7746		1272						
	14		4621		1122		9566		7640		1399						
	15		3700		1122		10120		7603		1348						
	16		2844		1123		10219		7904		1791						
	17		2226		1123		9680		8843		2558						
	18		2102		1121		10141		8863		2742						
	19		2065		1121		9738		8847		2725						
	20		2104		1123		9789		8635		2612						
	21		2159		1123		10013		8526		2335						
	22		2284		1123		10064		8204		2054						
	23		2431		1123		9443		8140		1850						
	24		2438		1122		8913		8363		1287						
