05/16/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		973		233		151		526		4097		0		0		
	2		973		233		152		484		4438		0		0		
	3		974		234		153		488		4364		0		0		
	4		976		235		153		488		4300		0		0		
	5		976		235		152		555		4316		0		0		
	6		976		235		153		565		4250		0		0		
	7		975		233		151		597		4192		1009		0		
	8		975		236		150		599		4192		4291		129		
	9		975		237		153		603		3986		6730		276		
	10		974		233		154		528		3865		8406		341		
	11		971		238		153		484		4104		8904		358		
	12		974		237		153		484		4284		8857		357		
	13		974		239		153		484		4562		8639		259		
	14		972		239		153		493		4828		8565		251		
	15		972		239		153		493		4870		8152		339		
	16		972		240		152		492		4857		7884		272		
	17		972		240		152		526		4914		6335		218		
	18		972		238		152		566		4886		4742		245		
	19		974		238		150		617		4603		2251		48		
	20		976		237		152		619		4552		266		0		
	21		975		238		152		609		4495		0		0		
	22		976		237		152		615		3731		0		0		
	23		963		234		152		611		4116		0		0		
	24		970		234		153		543		3811		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5980		1135		2463		7828		4571						
	2		6280		1135		1994		7442		4339						
	3		6213		1135		1903		7223		4244						
	4		6152		1135		1878		7254		4155						
	5		6234		1136		1862		7344		4484						
	6		6179		1136		2091		8045		4575						
	7		7157		1136		2334		8105		4819						
	8		10572		1136		2401		6621		4132						
	9		12960		1136		2669		4801		3501						
	10		14501		1136		2310		4244		3416						
	11		15212		1137		2394		4036		3146						
	12		15346		1136		2299		3973		3007						
	13		15310		1136		2150		3960		3059						
	14		15501		1136		2102		4013		2994						
	15		15218		1136		2123		3927		3233						
	16		14869		1137		2286		4087		3368						
	17		13357		1136		2786		4902		3730						
	18		11801		1136		3288		5977		3657						
	19		8881		1136		3840		7889		4312						
	20		6802		1136		5145		8916		4892						
	21		6469		1136		6390		9018		4931						
	22		5711		1135		5757		9568		4957						
	23		6076		1136		4474		8750		4709						
	24		5711		1136		3545		8135		4593						
