03/31/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1018		345		211		171		1727		0		0		
	2		1018		346		211		171		1562		0		0		
	3		1017		346		212		171		1564		0		0		
	4		1019		349		210		172		1928		0		0		
	5		1020		349		211		171		1861		0		0		
	6		1020		349		212		176		1711		0		0		
	7		1021		346		212		212		1338		55		0		
	8		1019		346		211		210		1085		3216		78		
	9		1014		347		208		169		1093		8893		333		
	10		1005		341		209		161		1234		11125		478		
	11		998		343		207		158		1520		11941		505		
	12		1010		342		207		121		1540		12183		505		
	13		1010		335		208		123		1704		12048		502		
	14		1006		341		208		125		1424		12200		498		
	15		1005		343		208		165		1395		12161		502		
	16		1005		348		208		168		1178		11836		502		
	17		1007		343		211		175		1055		11171		474		
	18		1007		345		211		182		945		8401		378		
	19		1007		350		211		221		850		2393		109		
	20		1009		351		212		221		822		11		0		
	21		1011		357		212		221		738		0		0		
	22		1014		359		212		216		723		0		0		
	23		1016		358		212		183		789		0		0		
	24		1016		358		212		174		834		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3447		1148		9590		6794		492						
	2		3280		1147		9348		6437		513						
	3		3251		1146		8984		6311		579						
	4		3621		1146		8728		6002		665						
	5		3577		1146		8817		5863		981						
	6		3438		1146		8996		6400		1473						
	7		3174		1145		9959		7308		2016						
	8		5872		1145		9662		6012		1713						
	9		11834		1146		6131		3788		1109						
	10		14474		1146		4039		2292		943						
	11		15639		1145		3288		1566		504						
	12		15899		1146		2929		824		531						
	13		15940		1146		2344		1077		508						
	14		15804		1146		2552		1246		439						
	15		15791		1146		2860		1011		689						
	16		15292		1147		3679		1409		822						
	17		14491		1147		5572		1385		917						
	18		11729		1147		7390		3546		1323						
	19		5422		1146		10204		7336		2306						
	20		2646		1146		12494		8485		2543						
	21		2499		1145		12172		8792		2497						
	22		2481		1145		11351		9118		1825						
	23		2519		1146		10601		8370		1653						
	24		2551		1146		10112		7411		1334						
