10/23/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		962		340		225		268		455		0		0		
	2		963		339		225		268		655		0		0		
	3		964		340		226		268		653		0		0		
	4		965		340		225		268		586		0		0		
	5		966		343		220		267		450		0		0		
	6		965		349		223		267		346		0		0		
	7		965		360		222		266		264		0		0		
	8		965		356		220		256		275		1023		13		
	9		966		368		218		228		314		5196		216		
	10		961		370		216		218		445		8264		398		
	11		953		374		212		215		841		8947		433		
	12		951		376		216		218		1082		8995		435		
	13		956		380		217		219		1043		9065		424		
	14		955		377		216		220		923		9071		310		
	15		944		381		214		225		854		9138		312		
	16		944		380		216		249		939		8628		372		
	17		945		382		218		229		1003		6123		279		
	18		946		381		228		225		860		1600		45		
	19		949		381		232		226		977		13		0		
	20		950		381		230		208		1400		0		0		
	21		950		378		236		205		1466		0		0		
	22		748		380		234		204		1428		0		0		
	23		490		346		236		205		1467		0		0		
	24		450		336		234		216		1492		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2250		1133		9985		7638		1501						
	2		2450		1134		9610		7001		1392						
	3		2451		1135		9361		6588		1303						
	4		2384		1134		9075		6595		1313						
	5		2246		1135		9546		6415		1502						
	6		2150		1136		10282		6398		2147						
	7		2077		1135		11555		7142		2561						
	8		3108		1134		12075		6880		2421						
	9		7506		1134		9435		5853		1676						
	10		10872		1134		7055		5255		1486						
	11		11975		1135		7586		3895		1553						
	12		12273		1135		8188		3495		1434						
	13		12304		1135		8042		4259		1488						
	14		12072		1135		9704		3775		1630						
	15		12068		1134		10567		4050		1872						
	16		11728		1135		11390		4507		2148						
	17		9179		1135		14275		4736		2449						
	18		4285		1135		16236		7125		2952						
	19		2778		1136		16673		8104		3053						
	20		3169		1135		15738		8435		2965						
	21		3235		1134		14872		8047		2649						
	22		2994		1134		13979		7661		2415						
	23		2744		1135		12099		7717		2294						
	24		2728		1136		10857		7306		1923						
