03/22/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		939		341		213		138		479		0		52		
	2		941		340		213		137		448		0		52		
	3		940		343		213		137		422		0		52		
	4		941		341		213		137		449		0		50		
	5		941		343		213		136		410		0		49		
	6		941		346		213		136		400		0		48		
	7		942		353		213		136		467		0		48		
	8		943		355		212		145		548		1073		48		
	9		942		354		213		141		427		5016		48		
	10		939		318		213		138		273		8201		49		
	11		937		303		213		101		224		8556		47		
	12		935		303		213		101		204		8430		51		
	13		935		301		213		102		299		8423		52		
	14		935		283		213		101		350		8144		52		
	15		935		269		212		100		353		7260		52		
	16		935		284		212		138		583		6295		52		
	17		937		303		212		152		644		5048		52		
	18		938		301		213		152		894		2543		52		
	19		939		300		211		162		1272		401		52		
	20		940		290		212		274		1581		0		14		
	21		942		287		212		267		1416		0		0		
	22		943		290		212		239		1427		0		0		
	23		943		310		212		239		1343		0		0		
	24		943		311		212		239		1208		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2162		2243		8325		6967		563						
	2		2131		2243		8281		6407		445						
	3		2107		2242		7883		6411		397						
	4		2131		2241		7788		6287		351						
	5		2092		2241		7702		6402		407						
	6		2084		2241		7768		6516		644						
	7		2159		2241		7799		7045		645						
	8		3324		2242		7238		6408		606						
	9		7141		2243		5314		4471		397						
	10		10131		2243		3838		2274		220						
	11		10381		2242		3414		1508		278						
	12		10237		2244		3362		1162		256						
	13		10325		2242		3486		816		320						
	14		10078		2241		3468		1047		406						
	15		9181		2240		3685		2220		479						
	16		8499		2239		4398		3121		430						
	17		7348		2239		5541		3881		713						
	18		5093		2239		6820		6005		1270						
	19		3337		2239		8122		7416		1584						
	20		3311		2240		9006		7444		1987						
	21		3124		2240		8722		7920		1890						
	22		3111		2241		8515		7679		1441						
	23		3047		2241		8466		7304		1088						
	24		2913		2241		8049		7019		626						
