05/23/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		946		331		229		342		2581		0		6		
	2		947		329		229		342		3145		0		0		
	3		949		331		229		341		4056		0		0		
	4		951		330		230		341		3890		0		0		
	5		951		325		230		343		3534		0		0		
	6		951		334		214		345		2819		0		0		
	7		950		336		205		350		1975		1658		34		
	8		951		335		205		343		1458		5269		242		
	9		949		333		205		340		1176		6178		354		
	10		941		317		204		340		1023		6684		367		
	11		937		312		202		340		868		7409		309		
	12		935		310		204		341		823		7932		344		
	13		931		311		203		338		822		8669		374		
	14		930		314		203		336		978		8650		376		
	15		928		317		197		336		1191		9649		377		
	16		930		323		198		339		1750		9738		375		
	17		929		334		200		349		2863		9016		358		
	18		929		332		204		350		3447		8004		335		
	19		930		332		204		351		3452		4509		212		
	20		932		333		204		352		3539		750		19		
	21		936		330		204		352		3614		0		0		
	22		939		334		204		349		3505		0		0		
	23		940		328		204		343		3366		0		0		
	24		940		328		204		340		3097		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4435		2281		2736		9696		2446						
	2		4992		2281		2261		8840		2206						
	3		5906		2280		1846		8071		1690						
	4		5742		2279		1852		7828		1656						
	5		5383		2281		2032		7670		1885						
	6		4663		2281		1975		8271		2241						
	7		5508		2281		2106		7313		2015						
	8		8803		2281		2042		4138		1655						
	9		9535		2282		2160		3111		1483						
	10		9876		2282		2191		2329		1424						
	11		10377		2281		2319		2019		1122						
	12		10889		2281		2238		1495		1146						
	13		11648		2281		2212		842		1147						
	14		11787		2280		2131		874		1292						
	15		12995		2279		2150		550		1172						
	16		13653		2280		2128		793		1287						
	17		14049		2281		2459		1360		1490						
	18		13601		2281		2828		2538		1906						
	19		9990		2281		3232		6042		2813						
	20		6129		2282		4681		8146		3815						
	21		5436		2282		5249		8728		3837						
	22		5331		2283		4586		9002		3710						
	23		5181		2283		3906		8950		3179						
	24		4909		2283		3091		8912		2821						
