02/15/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		915		323		186		155		1697		0		0		
	2		917		325		186		148		1770		0		0		
	3		918		326		187		146		1663		0		0		
	4		917		325		187		147		1220		0		0		
	5		918		331		187		147		845		0		0		
	6		918		333		187		167		724		0		0		
	7		917		331		187		169		652		89		0		
	8		917		329		187		163		843		2812		24		
	9		917		327		187		160		754		7106		154		
	10		914		316		187		112		735		8632		208		
	11		914		316		186		111		487		8863		211		
	12		910		318		186		110		858		8584		173		
	13		906		320		186		112		1046		8418		195		
	14		908		314		186		109		1229		8393		121		
	15		908		318		188		109		2004		7882		77		
	16		908		321		189		108		2161		6935		169		
	17		909		329		187		166		1986		3350		103		
	18		912		328		186		186		1638		199		0		
	19		915		327		187		224		1529		0		0		
	20		917		327		185		189		1717		0		0		
	21		918		329		187		172		1801		0		0		
	22		919		330		188		158		1793		0		0		
	23		920		330		188		113		2003		0		0		
	24		921		325		187		109		2571		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3276		1102		7651		8300		1070						
	2		3346		1091		7052		8119		1024						
	3		3240		1098		6938		7888		961						
	4		2796		1103		7071		7940		1032						
	5		2428		1103		7310		8222		1045						
	6		2329		1103		7738		8383		1273						
	7		2345		1103		7639		9351		1456						
	8		5275		1102		6904		7413		1393						
	9		9605		1102		4928		4672		1138						
	10		11104		1102		4099		3187		984						
	11		11088		1102		3884		3093		653						
	12		11139		1102		4001		2679		374						
	13		11183		1102		3762		2274		392						
	14		11260		1102		3790		2174		435						
	15		11486		1102		3872		2521		316						
	16		10791		1102		4777		2838		571						
	17		7030		1102		6096		5750		1361						
	18		3449		1102		8463		8500		2118						
	19		3182		1101		9206		9254		2368						
	20		3335		1100		9105		9075		2254						
	21		3407		1099		8808		9254		1899						
	22		3388		1103		8619		8953		1681						
	23		3554		1136		8174		8496		1218						
	24		4113		1136		6570		8365		1106						
