04/10/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		971		215		178		435		4075		0		0		
	2		972		215		182		428		4186		0		0		
	3		972		219		182		436		4053		0		0		
	4		973		222		183		437		3397		0		0		
	5		973		225		182		437		2971		0		0		
	6		973		227		183		455		2840		0		0		
	7		974		232		181		466		2953		200		0		
	8		975		237		176		465		3142		3123		0		
	9		973		239		175		440		3096		7626		151		
	10		973		239		174		440		3343		8882		265		
	11		972		242		178		440		3567		9372		196		
	12		971		238		176		440		3814		9254		134		
	13		970		237		179		442		3875		9092		128		
	14		968		237		180		443		3577		9738		130		
	15		964		238		180		442		3337		10282		135		
	16		963		240		181		447		3241		9954		137		
	17		923		245		170		448		3552		9214		137		
	18		949		240		180		452		3708		7074		121		
	19		964		243		188		491		3806		2382		48		
	20		965		244		192		494		3949		88		0		
	21		966		243		191		491		4072		0		0		
	22		968		245		190		493		4020		1		0		
	23		967		244		190		451		3821		1		0		
	24		968		243		190		468		3671		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5874		2283		2517		5978		3748						
	2		5983		2283		2114		5647		3678						
	3		4890		2284		3142		5484		3441						
	4		5212		2283		2204		6038		3515						
	5		4788		2284		2424		6504		3793						
	6		4678		2285		2663		7707		3959						
	7		5006		2285		3529		8688		3836						
	8		8118		2285		2811		7084		3789						
	9		12700		2286		2307		2670		3582						
	10		14316		2286		1733		1061		3411						
	11		14967		2284		1472		-28		3417						
	12		15027		2284		1529		-491		3301						
	13		14923		2284		1537		-729		3350						
	14		15273		2285		1618		-1021		3190						
	15		15578		2286		1660		-1084		3175						
	16		15163		2286		1633		-471		3427						
	17		14689		2285		2108		514		3332						
	18		12724		2285		2612		2926		3535						
	19		8122		2286		4171		6760		3712						
	20		5932		2285		5951		8419		3944						
	21		5963		2286		5926		8856		3947						
	22		5917		2286		4903		8744		3976						
	23		5674		2284		4290		7676		3911						
	24		5540		2284		3422		6950		3844						
