10/30/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1024		221		189		158		639		0		0		
	2		1025		223		188		154		520		0		0		
	3		1012		222		189		153		468		0		0		
	4		1017		225		189		154		509		0		0		
	5		1021		227		189		154		608		0		0		
	6		1026		232		179		157		684		0		0		
	7		1029		233		179		156		694		0		0		
	8		1030		236		177		156		670		836		0		
	9		1029		233		177		153		535		5011		117		
	10		1026		232		176		148		425		7755		310		
	11		1023		238		177		109		427		8397		366		
	12		1018		238		176		112		423		8664		373		
	13		1013		237		178		143		507		8568		372		
	14		1012		238		178		143		580		8716		369		
	15		1010		239		177		150		620		8765		354		
	16		1011		240		178		153		584		8143		315		
	17		1010		244		179		159		627		5351		213		
	18		1012		239		179		202		666		1133		18		
	19		1017		240		178		225		813		0		0		
	20		1022		239		178		191		839		0		0		
	21		1025		240		178		167		920		0		0		
	22		1026		241		176		165		1115		0		0		
	23		1025		231		175		158		1132		0		0		
	24		1026		218		175		157		971		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2200		-52		9943		7334		1396						
	2		2076		-54		9768		7004		1231						
	3		2008		-46		9733		6877		1080						
	4		2050		-50		9733		7022		910						
	5		2153		-41		10128		6846		921						
	6		2234		-33		10012		7285		1377						
	7		2252		-24		10692		7679		1828						
	8		2979		-16		11286		7768		1822						
	9		7030		-7		9332		6407		1468						
	10		10004		-26		7689		5061		1002						
	11		10725		-47		7527		4490		668						
	12		10994		-34		7442		4161		649						
	13		11024		-51		6808		4915		572						
	14		11208		-56		6730		4784		766						
	15		11336		-58		7341		4569		843						
	16		10698		-60		8050		4754		1150						
	17		7999		-62		9940		6085		1636						
	18		3593		-62		12720		7642		2627						
	19		2456		-59		14108		7890		2833						
	20		2434		-59		13471		8204		2726						
	21		2485		-59		12972		7967		2469						
	22		2678		-58		12822		7329		2021						
	23		2694		-58		11418		7629		1667						
	24		2515		-58		10131		7769		1551						
