10/04/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		964		239		236		312		3497		0		0		
	2		971		239		232		311		3338		0		0		
	3		960		241		234		313		3226		0		0		
	4		969		239		237		313		2872		0		0		
	5		946		242		237		312		2452		0		0		
	6		961		249		235		312		2007		0		0		
	7		943		266		235		317		1800		0		0		
	8		906		264		233		313		1872		1968		48		
	9		936		266		235		310		1913		6698		309		
	10		880		264		235		288		2150		9053		459		
	11		907		265		236		289		2509		9989		471		
	12		969		265		234		290		2443		10111		476		
	13		974		263		234		287		2452		10292		471		
	14		974		266		237		286		2155		10142		468		
	15		968		265		238		283		2189		10280		478		
	16		970		265		237		282		2177		9702		474		
	17		977		269		233		302		2397		8236		410		
	18		981		266		233		328		2443		3700		212		
	19		972		269		233		330		2300		266		0		
	20		955		270		232		328		2299		0		0		
	21		933		266		232		304		2290		0		0		
	22		900		263		231		302		2221		0		0		
	23		934		236		231		302		2191		0		0		
	24		939		220		231		301		1819		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5248		1138		7509		5232		2378						
	2		5091		1138		6630		5427		2351						
	3		4974		1137		6204		5440		2185						
	4		4630		1138		5736		6122		2271						
	5		4189		1138		6044		6501		2388						
	6		3764		1137		7055		6883		2757						
	7		3561		1137		7887		8046		3179						
	8		5604		1137		7830		7081		3052						
	9		10667		1136		6009		5267		1726						
	10		13329		1136		4931		4095		1190						
	11		14666		1136		4144		3042		1245						
	12		14788		1135		3971		3054		1100						
	13		14973		1135		4048		2784		1120						
	14		14528		1136		4083		3450		1294						
	15		14701		1136		4340		3653		1232						
	16		14107		1137		5136		3675		1473						
	17		12824		1136		6255		3944		1889						
	18		8163		1136		8443		5803		3172						
	19		4370		1136		10734		7654		3463						
	20		4084		1136		11054		7921		3653						
	21		4025		1136		10081		8309		3423						
	22		3917		1136		9927		7701		3244						
	23		3894		1137		9805		6658		2918						
	24		3510		1138		9357		6105		2624						
