06/27/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		902		389		219		483		3407		0		0		
	2		904		388		220		483		3353		0		0		
	3		904		389		221		476		3475		0		0		
	4		905		391		221		471		3459		0		0		
	5		906		390		221		469		3162		0		0		
	6		907		391		220		487		2922		0		0		
	7		907		391		220		536		2662		1633		57		
	8		883		392		212		485		2477		5768		271		
	9		877		388		209		450		2509		8459		453		
	10		879		385		209		448		2420		9603		510		
	11		873		384		209		442		2033		10276		529		
	12		865		382		208		442		1503		10635		533		
	13		834		384		207		455		1502		10670		548		
	14		825		384		207		465		1862		10713		545		
	15		825		385		207		493		2403		10561		547		
	16		834		401		210		529		2962		10151		542		
	17		865		409		215		555		3211		9481		531		
	18		868		409		216		582		3243		8197		488		
	19		879		409		217		628		3362		5204		343		
	20		897		409		218		630		3351		1423		74		
	21		899		382		218		629		3703		0		4		
	22		900		378		219		628		3831		0		0		
	23		902		378		219		551		3537		0		0		
	24		904		379		218		499		3409		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5400		2268		2920		8554		4188						
	2		5348		2269		2749		7851		4095						
	3		4561		2269		3346		7405		3982						
	4		5447		2270		2002		7620		3844						
	5		5148		2269		2128		8002		3975						
	6		4927		2270		2397		8787		4235						
	7		6406		2269		2539		8410		4119						
	8		10488		2269		2719		5465		3594						
	9		13345		2268		2639		3268		3349						
	10		14454		2270		2551		2612		3124						
	11		14746		2268		2628		2240		3101						
	12		14568		2268		2759		2877		3111						
	13		14600		2268		2933		2570		3087						
	14		15001		2269		2924		2495		3116						
	15		15421		2270		2799		2969		3169						
	16		15629		2270		2899		3558		3261						
	17		15267		2271		3358		3813		3587						
	18		14003		2272		3841		5085		4113						
	19		11042		2272		4902		7149		4350						
	20		7002		2273		6373		9203		4639						
	21		5835		2273		6325		10584		4733						
	22		5956		2273		5971		10106		4735						
	23		5587		2273		5322		9417		4406						
	24		5409		2273		4182		8974		4183						
