07/15/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		898		356		228		426		3482		0		0		
	2		900		365		232		443		3321		1		0		
	3		900		364		232		444		3326		0		0		
	4		903		363		233		443		3175		0		0		
	5		903		363		232		477		3048		0		0		
	6		904		364		232		479		2906		0		0		
	7		903		363		229		485		2687		1275		58		
	8		903		367		228		470		2447		5454		279		
	9		899		365		227		442		2498		8564		427		
	10		895		366		225		396		2390		9743		501		
	11		892		341		226		382		2521		10347		516		
	12		889		330		227		410		2795		10696		526		
	13		886		332		229		411		2953		10790		542		
	14		884		332		226		437		3366		10743		542		
	15		883		331		226		444		3735		10586		542		
	16		882		332		225		460		3983		10190		543		
	17		883		333		226		466		4318		9434		535		
	18		884		334		226		475		4619		8138		503		
	19		885		334		227		520		4790		5081		370		
	20		887		335		228		519		4831		1203		84		
	21		888		335		232		520		4923		4		0		
	22		891		335		232		522		4849		0		0		
	23		893		333		231		498		4708		0		0		
	24		894		343		232		492		4564		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5390		2270		7265		6633		3860						
	2		5262		2270		5999		6899		3669						
	3		4373		2269		6283		6610		3615						
	4		5117		2269		5273		6439		3584						
	5		5023		2267		5362		6645		3590						
	6		4885		2267		5942		7147		3693						
	7		6000		2268		5783		7528		3739						
	8		10148		2269		5087		5988		3357						
	9		13422		2268		4636		4302		3350						
	10		14516		2266		4471		4169		3363						
	11		15225		2264		5042		4080		3398						
	12		15873		2265		6113		3545		3427						
	13		16143		2266		7484		3124		3717						
	14		16530		2265		8650		3055		3908						
	15		16747		2265		9782		3159		4095						
	16		16615		2266		11041		3416		4150						
	17		16195		2267		11654		4342		4287						
	18		15179		2267		12631		4938		4532						
	19		12207		2268		13902		6485		4809						
	20		8087		2269		14684		8091		5457						
	21		6902		2270		13988		9033		5034						
	22		6829		2270		12499		8990		4885						
	23		6663		2270		11189		7718		4406						
	24		6525		2270		9586		6950		3796						
