12/30/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		977		357		245		269		351		0		0		
	2		975		357		246		268		279		0		0		
	3		973		359		245		266		263		0		0		
	4		972		359		245		265		204		0		0		
	5		972		362		245		266		189		0		0		
	6		970		363		244		269		140		0		0		
	7		970		374		245		428		126		0		0		
	8		971		375		246		482		142		1019		22		
	9		972		378		247		479		140		4199		173		
	10		968		374		247		320		153		6376		268		
	11		965		368		246		292		114		6780		344		
	12		964		371		245		293		118		6649		370		
	13		965		376		245		293		192		6674		360		
	14		964		375		245		292		334		6491		297		
	15		965		376		242		297		431		5154		131		
	16		967		378		243		295		490		2521		0		
	17		967		378		243		374		611		360		0		
	18		970		379		243		526		902		0		0		
	19		971		382		244		539		829		0		0		
	20		972		377		245		535		739		0		0		
	21		972		375		245		538		747		0		0		
	22		972		374		244		419		684		0		0		
	23		974		344		244		348		765		0		0		
	24		975		315		243		304		778		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2156		2262		6586		9025		2113						
	2		2126		2262		5636		9151		2135						
	3		2106		2262		5555		8776		2067						
	4		2045		2263		5387		8706		2085						
	5		2036		2264		5435		8782		2126						
	6		1991		2265		5836		8953		2124						
	7		2145		2265		6050		9276		2291						
	8		3257		2264		5889		8894		2139						
	9		6589		2265		4521		7460		1812						
	10		8710		2264		4135		5902		1782						
	11		9109		2263		4033		5428		1726						
	12		9015		2263		4042		5213		1675						
	13		9109		2262		4055		4983		1603						
	14		9002		2261		4129		4792		1763						
	15		7602		2261		4739		5934		1856						
	16		4901		2262		5877		7624		2039						
	17		2939		2262		7165		9215		2434						
	18		3026		2262		8199		9884		3306						
	19		2971		2263		8334		10119		3299						
	20		2873		2263		8320		10095		3168						
	21		2883		2264		7981		10015		3035						
	22		2699		2264		7809		9730		2820						
	23		2681		2263		7668		8950		2446						
	24		2620		2264		6919		8472		2183						
