04/30/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		924		315		236		414		3286		0		0		
	2		925		313		236		412		3369		0		0		
	3		926		316		236		414		3227		0		0		
	4		927		317		235		415		3388		0		0		
	5		928		314		236		415		3392		0		0		
	6		927		313		235		546		3239		0		0		
	7		926		313		236		592		3330		491		0		
	8		924		320		235		631		3181		3006		44		
	9		922		317		234		593		3058		6050		113		
	10		922		317		235		552		2992		8029		99		
	11		919		317		235		471		3109		8859		148		
	12		920		318		242		464		2774		8803		138		
	13		918		320		244		461		3428		8783		110		
	14		917		325		246		463		3897		8208		204		
	15		917		312		245		465		3914		7828		281		
	16		917		291		245		469		3738		7140		281		
	17		922		286		243		568		3819		5707		198		
	18		933		296		245		579		3836		3947		131		
	19		933		307		246		588		3735		1850		2		
	20		934		302		245		658		3559		139		0		
	21		938		295		245		663		3062		0		0		
	22		939		303		244		619		2853		0		0		
	23		939		309		242		564		2724		0		0		
	24		938		319		243		457		3177		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5175		2285		1607		8507		2856						
	2		5255		2284		1355		7992		2874						
	3		4193		2283		2175		7913		2835						
	4		5282		2283		1429		7559		2860						
	5		5285		2283		1884		7699		2882						
	6		5260		2283		2841		7978		3083						
	7		5888		2283		3427		8259		3174						
	8		8341		2283		3359		7611		3179						
	9		11287		2284		2398		6380		2778						
	10		13146		2283		1975		4982		2679						
	11		14058		2284		1933		3941		2530						
	12		13659		2285		2062		3946		2472						
	13		14264		2284		2025		3153		2270						
	14		14260		2285		2246		2796		2336						
	15		13962		2285		2525		2647		2476						
	16		13081		2285		3092		3337		2373						
	17		11743		2283		3655		4110		2559						
	18		9967		2285		4282		5341		3028						
	19		7661		2286		5131		7259		3456						
	20		5837		2283		6006		8886		4015						
	21		5203		2282		6540		9532		4162						
	22		4958		2284		6263		9266		3708						
	23		4778		2283		5475		8963		3078						
	24		5134		2284		4544		8039		2916						
