08/29/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		953		400		234		359		3883		0		0		
	2		954		400		234		354		3531		0		0		
	3		956		402		234		353		3183		0		0		
	4		958		403		234		353		2572		0		0		
	5		960		404		233		352		2314		0		0		
	6		962		405		234		394		2243		0		0		
	7		963		403		233		401		2045		192		0		
	8		961		403		229		382		1929		3279		81		
	9		926		402		232		327		1914		7476		310		
	10		926		400		233		334		1803		9267		432		
	11		923		398		232		364		1665		9968		444		
	12		923		398		229		369		1526		10133		461		
	13		933		401		219		372		1731		10042		476		
	14		932		403		227		373		2089		10327		510		
	15		922		404		229		395		2606		10196		517		
	16		923		403		228		442		3018		9808		502		
	17		944		404		230		452		3319		8988		476		
	18		938		402		234		461		3798		6746		403		
	19		934		401		234		463		3926		2408		146		
	20		942		402		234		468		3837		228		0		
	21		946		399		237		453		3652		79		0		
	22		951		402		238		450		3486		0		0		
	23		954		401		237		419		3190		0		0		
	24		956		398		237		394		3134		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5829		2250		7750		7906		3334						
	2		5473		2246		6826		7811		3313						
	3		4172		2245		7028		7885		3350						
	4		4520		2245		6233		7794		3294						
	5		4263		2246		6377		8041		3398						
	6		4238		2249		7168		8512		3431						
	7		4237		2252		7825		9790		3582						
	8		7264		2255		7288		8616		3469						
	9		11587		2256		5872		6888		3021						
	10		13395		2257		5618		6332		2761						
	11		13994		2253		5888		5851		3053						
	12		14039		2248		6613		5729		3315						
	13		14174		2248		8036		5321		3506						
	14		14861		2247		9955		4705		3629						
	15		15269		2245		11458		4642		3556						
	16		15324		2247		12757		4995		3744						
	17		14813		2248		14027		5466		4011						
	18		12982		2251		14425		7199		4304						
	19		8512		2254		16095		8831		4943						
	20		6111		2256		16586		9537		4920						
	21		5766		2257		15162		10276		4850						
	22		5527		2257		13522		10041		4545						
	23		5201		2253		11787		9354		3987						
	24		5119		2249		10338		8468		3321						
