03/07/17			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		942		204		185		422		1000		0		0		
	2		941		203		185		421		933		0		0		
	3		941		201		183		422		640		0		0		
	4		934		202		182		422		325		0		0		
	5		927		202		182		423		242		0		0		
	6		931		204		183		426		177		0		0		
	7		932		206		186		464		143		639		1		
	8		932		209		185		472		167		4394		112		
	9		929		208		184		437		164		7405		321		
	10		919		212		186		432		169		8389		370		
	11		919		214		186		431		177		8569		368		
	12		918		216		186		430		233		8299		362		
	13		918		219		187		431		243		7918		353		
	14		915		219		187		425		233		7778		324		
	15		912		218		186		405		237		7624		256		
	16		926		220		186		430		328		6553		230		
	17		928		219		186		436		540		4103		158		
	18		928		219		187		475		615		0		10		
	19		929		220		175		474		689		0		0		
	20		930		217		177		481		750		0		0		
	21		931		216		176		482		653		0		0		
	22		931		211		176		447		696		0		0		
	23		932		203		177		442		853		0		0		
	24		932		202		177		441		689		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2753		2280		4939		7573		3752						
	2		2684		2280		4679		7323		3862						
	3		2387		2281		4749		7284		3744						
	4		2065		2282		5180		7106		3822						
	5		1976		2282		5482		7471		3899						
	6		1921		2283		7611		6672		4192						
	7		2571		2283		9757		5688		4690						
	8		6471		2283		7732		4978		4188						
	9		9648		2283		5625		3714		3600						
	10		10676		2283		4690		3235		3436						
	11		10864		2281		4402		3312		3364						
	12		10645		2282		4137		3402		3430						
	13		10267		2282		4852		3327		3365						
	14		10081		2281		4795		3635		3390						
	15		9836		2282		4525		3907		3453						
	16		8874		2282		4849		4652		3575						
	17		6570		2282		5824		5796		4021						
	18		2434		2283		9481		6973		4628						
	19		2487		2283		10824		7385		5046						
	20		2555		2282		10581		7597		5029						
	21		2459		2283		9637		7994		4879						
	22		2461		2283		8435		8085		4465						
	23		2606		2282		6638		7911		4288						
	24		2440		2282		5750		7368		4027						
