09/26/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1003		372		237		258		1195		0		0		
	2		1004		375		235		256		1176		0		0		
	3		1005		374		235		256		904		0		0		
	4		1006		376		235		256		716		0		0		
	5		1001		380		235		256		623		0		0		
	6		971		389		234		255		423		0		0		
	7		978		407		233		263		271		0		0		
	8		980		409		228		263		265		1917		50		
	9		978		411		228		258		231		6131		265		
	10		971		412		225		227		282		8251		469		
	11		968		408		224		228		304		8891		549		
	12		965		399		226		261		353		9053		498		
	13		962		403		229		271		300		8940		533		
	14		961		407		230		270		248		8873		601		
	15		986		405		234		269		195		8756		603		
	16		991		408		235		271		123		8360		582		
	17		993		409		234		270		83		6696		533		
	18		996		409		236		304		70		3377		347		
	19		997		407		238		307		106		413		0		
	20		999		408		242		305		274		0		0		
	21		999		408		241		306		366		0		0		
	22		999		407		241		272		465		0		0		
	23		1001		371		237		265		668		0		0		
	24		1001		354		239		261		821		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3065		2262		7640		8511		2338						
	2		3046		2262		7003		8175		2186						
	3		1769		2260		7990		7773		2167						
	4		2589		2259		7194		7495		2184						
	5		2495		2259		7327		7836		2161						
	6		2272		2259		7939		8508		2438						
	7		2152		2259		8778		9975		2531						
	8		4112		2258		8364		9477		2515						
	9		8502		2257		6859		7251		2131						
	10		10837		2259		5853		6195		2112						
	11		11572		2260		6172		5506		2068						
	12		11755		2258		6596		5431		2120						
	13		11638		2257		7197		6000		2143						
	14		11590		2256		8347		6476		2237						
	15		11448		2255		9765		6692		2333						
	16		10970		2255		10856		7767		2363						
	17		9218		2253		12115		8300		3097						
	18		5739		2254		14180		9640		3445						
	19		2468		2255		15850		10698		3419						
	20		2228		2256		15627		10787		3626						
	21		2320		2257		14256		10659		3458						
	22		2384		2258		12264		10650		3133						
	23		2542		2259		10843		9732		2789						
	24		2676		2259		9535		8975		2493						
