01/11/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		946		286		234		331		1278		0		0		
	2		947		284		236		293		1770		0		0		
	3		946		287		235		289		1658		0		0		
	4		946		292		235		286		1111		0		0		
	5		947		293		236		284		1248		0		0		
	6		947		291		236		394		979		0		0		
	7		947		296		235		423		529		0		0		
	8		939		297		232		343		618		956		0		
	9		954		301		232		337		470		3894		191		
	10		953		302		230		336		449		5932		351		
	11		950		303		229		337		447		6591		375		
	12		946		300		228		338		434		6610		379		
	13		946		296		234		337		452		6700		321		
	14		946		288		234		339		375		6743		371		
	15		945		292		238		340		316		6500		337		
	16		946		293		242		346		332		4552		226		
	17		945		297		242		388		397		957		19		
	18		944		298		242		551		568		0		0		
	19		952		305		242		555		743		0		0		
	20		985		318		243		546		687		0		0		
	21		978		319		243		524		851		0		0		
	22		967		313		243		494		1091		0		0		
	23		966		299		243		456		1227		0		0		
	24		965		298		241		367		1184		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3075		2265		4828		8926		2133						
	2		3530		2264		4113		8493		1946						
	3		3415		2263		4368		8085		1794						
	4		2870		2262		4623		8226		1797						
	5		3008		2263		4386		8539		2125						
	6		2847		2264		5365		9219		2269						
	7		2430		2265		7052		9748		3123						
	8		3385		2264		7401		9806		3050						
	9		6379		2263		5718		9010		2225						
	10		8553		2260		4810		7784		2049						
	11		9232		2260		4748		7344		1743						
	12		9235		2257		4487		7098		1657						
	13		9286		2257		4385		6975		1610						
	14		9296		2258		4573		6851		1633						
	15		8968		2260		4941		6612		1655						
	16		6937		2259		5537		8045		1961						
	17		3245		2259		7903		9755		2525						
	18		2603		2261		9584		10508		3023						
	19		2797		2262		9496		10626		3122						
	20		2779		2263		8965		10680		3088						
	21		2915		2264		8525		10450		2847						
	22		3108		2265		7627		10235		2529						
	23		3191		2265		6609		9739		2184						
	24		3055		2266		5439		9384		2085						
