08/13/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		875		323		210		153		5269		0		0		
	2		869		321		210		151		5013		0		0		
	3		864		321		210		151		4727		0		0		
	4		871		298		211		152		4714		0		0		
	5		874		299		210		153		4646		0		0		
	6		882		298		209		172		4542		0		0		
	7		885		304		209		173		4312		369		0		
	8		882		305		212		172		3960		3439		0		
	9		880		305		211		115		3517		7662		0		
	10		878		305		211		109		3394		9870		0		
	11		874		302		210		145		2846		11141		0		
	12		872		302		209		147		2431		11621		2		
	13		868		307		209		164		2565		11670		252		
	14		867		310		209		173		2795		11657		167		
	15		864		314		202		186		3273		11344		0		
	16		864		311		206		195		3623		10680		0		
	17		863		314		205		249		4129		9707		0		
	18		862		310		208		263		4633		7704		0		
	19		868		308		208		273		4763		3411		0		
	20		874		308		207		307		4474		375		0		
	21		875		305		210		266		4515		0		0		
	22		877		309		209		234		4473		0		0		
	23		877		300		212		191		4638		0		0		
	24		881		300		213		166		4858		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		6813		2266		11980		6604		1064						
	2		6564		2265		11195		6185		889						
	3		6268		2266		10369		5946		817						
	4		6228		2266		9843		5970		797						
	5		6166		2266		9874		5942		808						
	6		6096		2265		10432		6152		871						
	7		6188		2262		10967		6126		1377						
	8		8798		2261		10422		5505		928						
	9		12527		2262		10076		3896		592						
	10		14688		2262		9545		2916		595						
	11		15524		2264		9827		2772		611						
	12		15555		2264		11274		2462		742						
	13		16019		2266		12381		1208		1245						
	14		16177		2268		13774		1136		1602						
	15		16188		2267		14956		1205		2067						
	16		15897		2266		16654		1109		2359						
	17		15502		2263		17189		1285		3105						
	18		14105		2261		17982		2284		3219						
	19		10074		2260		19573		3817		3561						
	20		6619		2259		20048		5215		3616						
	21		6136		2258		18859		6038		3373						
	22		6055		2259		17634		6548		2653						
	23		6182		2261		15201		7543		1766						
	24		6378		2261		12687		7757		1500						
