05/02/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		875		308		220		210		4640		0		0		
	2		882		306		221		211		4243		0		0		
	3		879		308		221		212		4603		0		0		
	4		879		307		221		212		4970		0		0		
	5		883		306		221		210		4006		0		0		
	6		886		308		221		211		3782		0		0		
	7		884		307		221		213		3951		1170		0		
	8		891		301		219		210		4413		4869		54		
	9		886		294		220		190		4008		6447		207		
	10		883		295		220		153		3853		7908		251		
	11		881		295		220		145		3873		8589		345		
	12		880		296		219		145		4176		8554		367		
	13		876		298		220		144		4858		8775		373		
	14		872		271		220		148		5058		9043		374		
	15		870		279		219		147		4999		9197		365		
	16		870		285		220		149		4741		9771		352		
	17		870		289		220		149		4735		9572		320		
	18		869		300		220		192		4936		7718		210		
	19		861		306		220		212		4812		3820		98		
	20		866		306		220		254		4525		295		0		
	21		854		306		220		248		4505		0		0		
	22		872		308		219		248		4836		0		0		
	23		863		308		218		212		5137		0		0		
	24		869		307		215		206		5187		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		6238		2279		5631		6018		993						
	2		5835		2279		5197		5998		971						
	3		6148		2279		4602		5747		860						
	4		6573		2279		3976		5536		897						
	5		5622		2279		4248		6209		880						
	6		5372		2279		4593		6129		1060						
	7		6557		2278		3849		5667		1138						
	8		10824		2279		2152		3190		882						
	9		12228		2279		2159		1287		846						
	10		13491		2279		2135		74		542						
	11		14313		2279		2345		-864		213						
	12		14595		2280		2272		-1453		286						
	13		15530		2280		2169		-2340		135						
	14		15954		2280		2273		-2835		85						
	15		16070		2280		2398		-2817		228						
	16		16375		2279		2903		-2977		489						
	17		16200		2280		3284		-1861		401						
	18		14558		2280		3401		1362		633						
	19		10608		2279		3753		5233		1708						
	20		6567		2279		5797		7549		2316						
	21		6067		2278		6469		7943		2449						
	22		6429		2277		5850		8009		1982						
	23		6697		2277		5239		7105		1688						
	24		6746		2277		4585		6639		1198						
