12/02/19			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		737		251		215		202		788		0		0		
	2		738		236		215		205		700		0		0		
	3		733		243		215		207		728		0		0		
	4		739		239		214		208		676		0		0		
	5		738		253		214		206		390		0		0		
	6		739		253		213		267		370		0		0		
	7		740		264		212		274		459		10		0		
	8		736		261		207		273		499		919		0		
	9		701		263		204		255		488		2992		0		
	10		692		259		208		240		716		5077		0		
	11		691		266		202		224		863		5747		0		
	12		691		264		202		249		490		5978		0		
	13		683		262		205		251		377		5604		13		
	14		668		283		198		252		329		5318		0		
	15		689		262		209		256		349		3477		0		
	16		726		256		210		268		350		1444		0		
	17		731		263		208		308		359		257		0		
	18		736		263		208		328		384		9		0		
	19		743		264		208		335		436		0		0		
	20		743		262		210		338		372		0		0		
	21		742		264		210		330		365		0		0		
	22		741		261		210		284		303		0		0		
	23		741		246		210		259		401		0		0		
	24		741		244		210		254		485		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2193		1124		9375		7156		1040						
	2		2094		1125		9423		6741		932						
	3		2126		1125		9203		6471		1009						
	4		2076		1125		9122		6586		1005						
	5		1801		1125		9802		6898		1053						
	6		1842		1126		10760		7059		1429						
	7		1959		1127		12013		7174		2273						
	8		2895		1127		12451		6891		2372						
	9		4903		1127		11423		6046		1843						
	10		7192		1127		9936		5245		1332						
	11		7993		1126		9301		4555		1361						
	12		7874		1126		9371		4420		1375						
	13		7395		1126		9182		5189		1532						
	14		7048		1126		9570		5583		1510						
	15		5242		1126		11043		5987		1489						
	16		3254		1129		12209		7124		2168						
	17		2126		1129		12987		7878		3057						
	18		1928		1128		14033		8503		3381						
	19		1986		1128		13567		8964		3387						
	20		1925		1127		13493		8505		3366						
	21		1911		1126		13158		8298		3128						
	22		1799		1126		12505		8469		2541						
	23		1857		1127		11469		8151		1891						
	24		1934		1128		10208		7706		1638						
