09/17/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		933		272		214		142		2661		0		0		
	2		932		279		215		142		2609		0		0		
	3		933		303		214		142		2555		0		0		
	4		933		311		215		142		2045		0		0		
	5		934		313		214		142		1628		0		0		
	6		935		313		214		149		1453		0		0		
	7		936		317		213		150		1174		28		0		
	8		938		319		212		138		1081		2388		0		
	9		932		318		212		98		1097		6775		0		
	10		925		318		211		96		1146		8839		0		
	11		923		320		210		95		976		9980		0		
	12		919		317		210		95		794		10022		0		
	13		920		316		213		95		856		10059		0		
	14		920		317		213		96		928		10055		0		
	15		919		316		210		136		1075		9583		0		
	16		916		321		206		150		1267		9768		0		
	17		917		321		208		156		1634		8497		0		
	18		919		319		215		203		2182		4820		0		
	19		918		319		215		204		2552		798		0		
	20		921		318		216		203		2559		0		0		
	21		924		316		216		201		2524		0		0		
	22		928		320		214		161		2503		0		0		
	23		930		320		215		154		2410		0		0		
	24		933		321		215		142		2301		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4183		2259		8733		6913		1722						
	2		4138		2259		8373		6717		1297						
	3		4119		2257		7989		6645		1024						
	4		3631		2258		8016		6744		1088						
	5		3197		2261		8171		7125		1179						
	6		3029		2261		8357		7863		1401						
	7		2811		2259		8887		8881		1782						
	8		4866		2260		8553		8668		1316						
	9		9253		2261		6813		6821		1033						
	10		11464		2263		5600		5481		879						
	11		12489		2264		5405		4250		795						
	12		12334		2263		5920		4192		592						
	13		12477		2262		5876		4388		602						
	14		12541		2260		5753		4765		833						
	15		12228		2259		6125		5218		1139						
	16		12612		2259		6635		5549		1600						
	17		11851		2260		7660		6191		2110						
	18		8846		2259		8841		7578		3558						
	19		5133		2259		10438		9018		4307						
	20		4174		2259		11087		9572		4017						
	21		4137		2260		10104		9782		3743						
	22		4089		2260		9818		9150		3383						
	23		3990		2260		10002		8635		2102						
	24		3878		2259		9471		8004		1619						
