09/29/21			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		973		254		207		126		4059		0		0		
	2		974		254		207		124		4177		0		0		
	3		976		250		207		125		4349		0		0		
	4		976		256		207		124		4074		0		0		
	5		971		256		207		123		3950		0		0		
	6		974		256		206		127		3937		0		0		
	7		974		258		203		164		3560		11		0		
	8		975		258		187		128		2869		1765		0		
	9		969		256		189		122		2512		6025		0		
	10		958		258		188		113		1459		9108		0		
	11		955		259		193		113		865		10316		0		
	12		955		261		200		106		766		10653		0		
	13		948		267		206		71		820		10812		201		
	14		937		271		210		110		774		11221		339		
	15		922		272		210		111		870		11214		345		
	16		925		272		209		111		839		10705		323		
	17		895		275		209		121		924		9048		274		
	18		858		275		210		131		1246		4289		138		
	19		911		273		210		176		1704		350		0		
	20		945		275		211		176		1831		0		0		
	21		961		275		209		145		1652		0		0		
	22		964		274		205		136		1451		0		0		
	23		963		269		205		126		1577		0		0		
	24		963		267		207		122		1483		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5575		2267		6584		6804		1236						
	2		5695		2267		6047		6463		1243						
	3		5872		2268		5704		6057		1226						
	4		5605		2267		5857		5824		1284						
	5		5475		2267		6436		5598		1321						
	6		5464		2267		6595		6584		1314						
	7		5200		2268		6909		7897		1907						
	8		6035		2268		7281		7722		1698						
	9		9906		2269		6135		5377		1184						
	10		12000		2269		5107		4787		778						
	11		12708		2270		4848		3936		582						
	12		12912		2268		5202		3461		416						
	13		13301		2268		5259		3336		404						
	14		13809		2269		5218		2974		568						
	15		13987		2268		5335		2950		895						
	16		13409		2268		6443		3487		949						
	17		11892		2268		6922		5247		1090						
	18		7417		2267		8379		7553		2613						
	19		3681		2267		10151		9223		3615						
	20		3390		2267		10401		9684		3644						
	21		3203		2268		10503		9100		3364						
	22		2978		2268		10150		9020		2882						
	23		3084		2268		9672		8373		2047						
	24		2995		2268		9379		7775		1314						
