06/06/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		989		376		245		419		4413		0		0		
	2		990		382		245		421		4262		0		0		
	3		991		384		246		424		3871		0		0		
	4		992		388		246		422		3258		0		0		
	5		992		388		246		422		2909		0		0		
	6		993		394		246		457		2744		18		0		
	7		992		400		246		487		2214		1583		41		
	8		988		399		242		479		1753		5391		281		
	9		984		404		239		481		1627		7971		502		
	10		979		402		239		470		1583		8845		565		
	11		976		398		238		437		1607		9467		584		
	12		955		395		226		364		1767		9925		597		
	13		946		397		221		360		1996		9946		623		
	14		945		399		219		361		2393		9903		622		
	15		943		388		218		387		2563		9609		618		
	16		941		396		217		383		2839		9160		628		
	17		942		401		217		380		3263		8578		634		
	18		943		404		223		383		3527		7196		579		
	19		960		410		230		388		3888		4124		384		
	20		976		412		239		418		3906		867		67		
	21		979		410		239		439		3975		56		14		
	22		983		409		239		402		3852		51		0		
	23		986		404		241		384		3879		44		0		
	24		989		394		245		345		3871		46		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		6442		2279		3341		8303		3056						
	2		6300		2280		2832		8417		2763						
	3		4926		2279		3259		8701		2723						
	4		5306		2280		2267		9028		2724						
	5		4957		2281		2467		9173		2785						
	6		4852		2282		2684		9511		3284						
	7		5963		2282		3042		9428		3293						
	8		9533		2281		3459		6846		3178						
	9		12208		2280		3485		5042		2816						
	10		13083		2280		3247		4768		2690						
	11		13707		2280		3410		4184		2506						
	12		14229		2278		3443		3448		2559						
	13		14489		2277		3445		3165		2510						
	14		14842		2277		3650		3193		2480						
	15		14726		2279		4283		3452		2369						
	16		14564		2278		4733		3630		2696						
	17		14415		2279		5054		3866		2799						
	18		13255		2280		5527		5142		2863						
	19		10384		2282		6315		7193		3312						
	20		6885		2281		7630		9236		3573						
	21		6112		2281		7487		10503		3673						
	22		5936		2281		6762		10647		3599						
	23		5938		2279		5429		10012		3219						
	24		5890		2279		3939		9731		2948						
