Date,LMP,Node
2/8/2018 12:00:00 AM,44.59,.Z.CONNECTICUT
2/8/2018 12:00:00 AM,42.1,.Z.MAINE
2/8/2018 12:00:00 AM,44.6,.Z.NEMASSBOST
2/8/2018 12:00:00 AM,43.12,.Z.NEWHAMPSHIRE
2/8/2018 12:00:00 AM,45.12,.Z.RHODEISLAND
2/8/2018 12:00:00 AM,44.79,.Z.SEMASS
2/8/2018 12:00:00 AM,44.02,.Z.VERMONT
2/8/2018 12:00:00 AM,44.87,.Z.WCMASS
2/8/2018 1:00:00 AM,49.33,.Z.CONNECTICUT
2/8/2018 1:00:00 AM,45.59,.Z.MAINE
2/8/2018 1:00:00 AM,48.99,.Z.NEMASSBOST
2/8/2018 1:00:00 AM,47.44,.Z.NEWHAMPSHIRE
2/8/2018 1:00:00 AM,49.66,.Z.RHODEISLAND
2/8/2018 1:00:00 AM,49.26,.Z.SEMASS
2/8/2018 1:00:00 AM,49.14,.Z.VERMONT
2/8/2018 1:00:00 AM,49.59,.Z.WCMASS
2/8/2018 2:00:00 AM,45.27,.Z.CONNECTICUT
2/8/2018 2:00:00 AM,42.48,.Z.MAINE
2/8/2018 2:00:00 AM,45.1,.Z.NEMASSBOST
2/8/2018 2:00:00 AM,44.52,.Z.NEWHAMPSHIRE
2/8/2018 2:00:00 AM,45.66,.Z.RHODEISLAND
2/8/2018 2:00:00 AM,45.31,.Z.SEMASS
2/8/2018 2:00:00 AM,45.09,.Z.VERMONT
2/8/2018 2:00:00 AM,45.58,.Z.WCMASS
2/8/2018 3:00:00 AM,44.61,.Z.CONNECTICUT
2/8/2018 3:00:00 AM,41.79,.Z.MAINE
2/8/2018 3:00:00 AM,44.47,.Z.NEMASSBOST
2/8/2018 3:00:00 AM,43.4,.Z.NEWHAMPSHIRE
2/8/2018 3:00:00 AM,45,.Z.RHODEISLAND
2/8/2018 3:00:00 AM,44.65,.Z.SEMASS
2/8/2018 3:00:00 AM,44.38,.Z.VERMONT
2/8/2018 3:00:00 AM,44.88,.Z.WCMASS
2/8/2018 4:00:00 AM,45.84,.Z.CONNECTICUT
2/8/2018 4:00:00 AM,42.79,.Z.MAINE
2/8/2018 4:00:00 AM,45.6,.Z.NEMASSBOST
2/8/2018 4:00:00 AM,45.02,.Z.NEWHAMPSHIRE
2/8/2018 4:00:00 AM,46.21,.Z.RHODEISLAND
2/8/2018 4:00:00 AM,45.83,.Z.SEMASS
2/8/2018 4:00:00 AM,45.17,.Z.VERMONT
2/8/2018 4:00:00 AM,46.05,.Z.WCMASS
2/8/2018 5:00:00 AM,55.7,.Z.CONNECTICUT
2/8/2018 5:00:00 AM,52.49,.Z.MAINE
2/8/2018 5:00:00 AM,55.87,.Z.NEMASSBOST
