Date,LMP,Node
1/17/2017 10:00:00 AM,43.56,.Z.WCMASS
1/17/2017 11:00:00 AM,41.67,.Z.CONNECTICUT
1/17/2017 11:00:00 AM,41.74,.Z.MAINE
1/17/2017 11:00:00 AM,41.81,.Z.NEMASSBOST
1/17/2017 11:00:00 AM,41.84,.Z.NEWHAMPSHIRE
1/17/2017 11:00:00 AM,41.65,.Z.RHODEISLAND
1/17/2017 11:00:00 AM,41.66,.Z.SEMASS
1/17/2017 11:00:00 AM,41.1,.Z.VERMONT
1/17/2017 11:00:00 AM,42,.Z.WCMASS
1/17/2017 12:00:00 PM,39.93,.Z.CONNECTICUT
1/17/2017 12:00:00 PM,39.77,.Z.MAINE
1/17/2017 12:00:00 PM,40.05,.Z.NEMASSBOST
1/17/2017 12:00:00 PM,40.01,.Z.NEWHAMPSHIRE
1/17/2017 12:00:00 PM,40.01,.Z.RHODEISLAND
1/17/2017 12:00:00 PM,39.96,.Z.SEMASS
1/17/2017 12:00:00 PM,39.43,.Z.VERMONT
1/17/2017 12:00:00 PM,40.23,.Z.WCMASS
1/17/2017 1:00:00 PM,40.22,.Z.CONNECTICUT
1/17/2017 1:00:00 PM,40.23,.Z.MAINE
1/17/2017 1:00:00 PM,40.42,.Z.NEMASSBOST
1/17/2017 1:00:00 PM,40.53,.Z.NEWHAMPSHIRE
1/17/2017 1:00:00 PM,40.31,.Z.RHODEISLAND
1/17/2017 1:00:00 PM,40.28,.Z.SEMASS
1/17/2017 1:00:00 PM,40.1,.Z.VERMONT
1/17/2017 1:00:00 PM,40.59,.Z.WCMASS
1/17/2017 2:00:00 PM,37.51,.Z.CONNECTICUT
1/17/2017 2:00:00 PM,37.53,.Z.MAINE
1/17/2017 2:00:00 PM,37.65,.Z.NEMASSBOST
1/17/2017 2:00:00 PM,37.79,.Z.NEWHAMPSHIRE
1/17/2017 2:00:00 PM,37.62,.Z.RHODEISLAND
1/17/2017 2:00:00 PM,37.57,.Z.SEMASS
1/17/2017 2:00:00 PM,37.45,.Z.VERMONT
1/17/2017 2:00:00 PM,37.82,.Z.WCMASS
1/17/2017 3:00:00 PM,36.14,.Z.CONNECTICUT
1/17/2017 3:00:00 PM,36.37,.Z.MAINE
1/17/2017 3:00:00 PM,36.42,.Z.NEMASSBOST
1/17/2017 3:00:00 PM,36.52,.Z.NEWHAMPSHIRE
1/17/2017 3:00:00 PM,36.33,.Z.RHODEISLAND
1/17/2017 3:00:00 PM,36.31,.Z.SEMASS
1/17/2017 3:00:00 PM,36.09,.Z.VERMONT
1/17/2017 3:00:00 PM,36.48,.Z.WCMASS
1/17/2017 4:00:00 PM,43.55,.Z.CONNECTICUT
1/17/2017 4:00:00 PM,44.19,.Z.MAINE
1/17/2017 4:00:00 PM,44.08,.Z.NEMASSBOST
1/17/2017 4:00:00 PM,44.3,.Z.NEWHAMPSHIRE
1/17/2017 4:00:00 PM,43.81,.Z.RHODEISLAND
1/17/2017 4:00:00 PM,43.89,.Z.SEMASS
1/17/2017 4:00:00 PM,44.31,.Z.VERMONT
1/17/2017 4:00:00 PM,44.08,.Z.WCMASS
1/17/2017 5:00:00 PM,66.69,.Z.CONNECTICUT
1/17/2017 5:00:00 PM,67.71,.Z.MAINE
1/17/2017 5:00:00 PM,67.67,.Z.NEMASSBOST
1/17/2017 5:00:00 PM,67.9,.Z.NEWHAMPSHIRE
1/17/2017 5:00:00 PM,67.13,.Z.RHODEISLAND
1/17/2017 5:00:00 PM,67.42,.Z.SEMASS
1/17/2017 5:00:00 PM,67.4,.Z.VERMONT
1/17/2017 5:00:00 PM,67.58,.Z.WCMASS
1/17/2017 6:00:00 PM,51.31,.Z.CONNECTICUT
1/17/2017 6:00:00 PM,52.17,.Z.MAINE
1/17/2017 6:00:00 PM,51.96,.Z.NEMASSBOST
1/17/2017 6:00:00 PM,52.2,.Z.NEWHAMPSHIRE
1/17/2017 6:00:00 PM,51.43,.Z.RHODEISLAND
1/17/2017 6:00:00 PM,51.66,.Z.SEMASS
1/17/2017 6:00:00 PM,51.07,.Z.VERMONT
1/17/2017 6:00:00 PM,51.82,.Z.WCMASS
1/17/2017 7:00:00 PM,44.36,.Z.CONNECTICUT
1/17/2017 7:00:00 PM,44.58,.Z.MAINE
1/17/2017 7:00:00 PM,44.69,.Z.NEMASSBOST
1/17/2017 7:00:00 PM,44.81,.Z.NEWHAMPSHIRE
1/17/2017 7:00:00 PM,44.47,.Z.RHODEISLAND
1/17/2017 7:00:00 PM,44.55,.Z.SEMASS
1/17/2017 7:00:00 PM,44.06,.Z.VERMONT
1/17/2017 7:00:00 PM,44.73,.Z.WCMASS
1/17/2017 8:00:00 PM,39.35,.Z.CONNECTICUT
1/17/2017 8:00:00 PM,39.51,.Z.MAINE
1/17/2017 8:00:00 PM,39.6,.Z.NEMASSBOST
1/17/2017 8:00:00 PM,39.64,.Z.NEWHAMPSHIRE
1/17/2017 8:00:00 PM,39.62,.Z.RHODEISLAND
1/17/2017 8:00:00 PM,39.57,.Z.SEMASS
1/17/2017 8:00:00 PM,39.46,.Z.VERMONT
1/17/2017 8:00:00 PM,39.65,.Z.WCMASS
