Date,LMP,Node
4/5/2019 12:00:00 AM,28.13,.Z.CONNECTICUT
4/5/2019 12:00:00 AM,26.21,.Z.MAINE
4/5/2019 12:00:00 AM,28.55,.Z.NEMASSBOST
4/5/2019 12:00:00 AM,27.5,.Z.NEWHAMPSHIRE
4/5/2019 12:00:00 AM,28.57,.Z.RHODEISLAND
4/5/2019 12:00:00 AM,28.57,.Z.SEMASS
4/5/2019 12:00:00 AM,27.59,.Z.VERMONT
4/5/2019 12:00:00 AM,28.45,.Z.WCMASS
4/5/2019 1:00:00 AM,25.54,.Z.CONNECTICUT
4/5/2019 1:00:00 AM,24.22,.Z.MAINE
4/5/2019 1:00:00 AM,26.03,.Z.NEMASSBOST
4/5/2019 1:00:00 AM,25.12,.Z.NEWHAMPSHIRE
4/5/2019 1:00:00 AM,25.99,.Z.RHODEISLAND
4/5/2019 1:00:00 AM,25.99,.Z.SEMASS
4/5/2019 1:00:00 AM,25.08,.Z.VERMONT
4/5/2019 1:00:00 AM,25.88,.Z.WCMASS
4/5/2019 2:00:00 AM,23.56,.Z.CONNECTICUT
4/5/2019 2:00:00 AM,22.48,.Z.MAINE
4/5/2019 2:00:00 AM,24.05,.Z.NEMASSBOST
4/5/2019 2:00:00 AM,23.28,.Z.NEWHAMPSHIRE
4/5/2019 2:00:00 AM,24.02,.Z.RHODEISLAND
4/5/2019 2:00:00 AM,24.03,.Z.SEMASS
4/5/2019 2:00:00 AM,23.18,.Z.VERMONT
4/5/2019 2:00:00 AM,23.94,.Z.WCMASS
4/5/2019 3:00:00 AM,25.14,.Z.CONNECTICUT
4/5/2019 3:00:00 AM,23.93,.Z.MAINE
4/5/2019 3:00:00 AM,25.62,.Z.NEMASSBOST
4/5/2019 3:00:00 AM,24.97,.Z.NEWHAMPSHIRE
4/5/2019 3:00:00 AM,25.59,.Z.RHODEISLAND
4/5/2019 3:00:00 AM,25.6,.Z.SEMASS
4/5/2019 3:00:00 AM,24.78,.Z.VERMONT
4/5/2019 3:00:00 AM,25.51,.Z.WCMASS
4/5/2019 4:00:00 AM,27.95,.Z.CONNECTICUT
4/5/2019 4:00:00 AM,26.21,.Z.MAINE
4/5/2019 4:00:00 AM,28.43,.Z.NEMASSBOST
4/5/2019 4:00:00 AM,27.65,.Z.NEWHAMPSHIRE
4/5/2019 4:00:00 AM,28.4,.Z.RHODEISLAND
4/5/2019 4:00:00 AM,28.4,.Z.SEMASS
4/5/2019 4:00:00 AM,27.53,.Z.VERMONT
4/5/2019 4:00:00 AM,28.33,.Z.WCMASS
4/5/2019 5:00:00 AM,28.89,.Z.CONNECTICUT
4/5/2019 5:00:00 AM,27.64,.Z.MAINE
4/5/2019 5:00:00 AM,29.43,.Z.NEMASSBOST
4/5/2019 5:00:00 AM,28.8,.Z.NEWHAMPSHIRE
4/5/2019 5:00:00 AM,29.06,.Z.RHODEISLAND
4/5/2019 5:00:00 AM,29.21,.Z.SEMASS
4/5/2019 5:00:00 AM,28.71,.Z.VERMONT
4/5/2019 5:00:00 AM,29.24,.Z.WCMASS
4/5/2019 6:00:00 AM,36.23,.Z.CONNECTICUT
4/5/2019 6:00:00 AM,35.38,.Z.MAINE
4/5/2019 6:00:00 AM,37,.Z.NEMASSBOST
4/5/2019 6:00:00 AM,36.32,.Z.NEWHAMPSHIRE
4/5/2019 6:00:00 AM,36.29,.Z.RHODEISLAND
4/5/2019 6:00:00 AM,36.69,.Z.SEMASS
4/5/2019 6:00:00 AM,36.22,.Z.VERMONT
4/5/2019 6:00:00 AM,36.73,.Z.WCMASS
4/5/2019 7:00:00 AM,39.29,.Z.CONNECTICUT
4/5/2019 7:00:00 AM,38.18,.Z.MAINE
4/5/2019 7:00:00 AM,40.08,.Z.NEMASSBOST
4/5/2019 7:00:00 AM,39.16,.Z.NEWHAMPSHIRE
4/5/2019 7:00:00 AM,39.54,.Z.RHODEISLAND
4/5/2019 7:00:00 AM,39.85,.Z.SEMASS
4/5/2019 7:00:00 AM,38.73,.Z.VERMONT
4/5/2019 7:00:00 AM,39.71,.Z.WCMASS
4/5/2019 8:00:00 AM,39.9,.Z.CONNECTICUT
4/5/2019 8:00:00 AM,38.42,.Z.MAINE
4/5/2019 8:00:00 AM,40.17,.Z.NEMASSBOST
4/5/2019 8:00:00 AM,39.28,.Z.NEWHAMPSHIRE
4/5/2019 8:00:00 AM,39.5,.Z.RHODEISLAND
4/5/2019 8:00:00 AM,39.79,.Z.SEMASS
4/5/2019 8:00:00 AM,39.41,.Z.VERMONT
4/5/2019 8:00:00 AM,39.98,.Z.WCMASS
4/5/2019 9:00:00 AM,36.51,.Z.CONNECTICUT
4/5/2019 9:00:00 AM,34.99,.Z.MAINE
4/5/2019 9:00:00 AM,36.57,.Z.NEMASSBOST
4/5/2019 9:00:00 AM,35.75,.Z.NEWHAMPSHIRE
4/5/2019 9:00:00 AM,36,.Z.RHODEISLAND
4/5/2019 9:00:00 AM,36.2,.Z.SEMASS
4/5/2019 9:00:00 AM,35.67,.Z.VERMONT
4/5/2019 9:00:00 AM,36.55,.Z.WCMASS
4/5/2019 10:00:00 AM,31.53,.Z.CONNECTICUT
4/5/2019 10:00:00 AM,30.2,.Z.MAINE
4/5/2019 10:00:00 AM,31.6,.Z.NEMASSBOST
4/5/2019 10:00:00 AM,30.9,.Z.NEWHAMPSHIRE
4/5/2019 10:00:00 AM,31.12,.Z.RHODEISLAND
4/5/2019 10:00:00 AM,31.28,.Z.SEMASS
4/5/2019 10:00:00 AM,30.8,.Z.VERMONT
4/5/2019 10:00:00 AM,31.57,.Z.WCMASS
4/5/2019 11:00:00 AM,33.14,.Z.CONNECTICUT
4/5/2019 11:00:00 AM,31.89,.Z.MAINE
4/5/2019 11:00:00 AM,33.41,.Z.NEMASSBOST
4/5/2019 11:00:00 AM,32.63,.Z.NEWHAMPSHIRE
4/5/2019 11:00:00 AM,33.53,.Z.RHODEISLAND
4/5/2019 11:00:00 AM,33.28,.Z.SEMASS
