"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20210630.csv"
"C","Report for: 06/30/2021 - 06/30/2021"
"C","Report generated: 06/29/2021 12:34:02 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","06/30/2021","01","321","UN.FRNKLNSQ13.810CC","NETWORK NODE",82.68,71.65,11.45,-0.42
"D","06/30/2021","01","322","UN.FRNKLNSQ13.811CC","NETWORK NODE",82.68,71.65,11.45,-0.42
"D","06/30/2021","01","323","UN.FRNKLNSQ13.89CC","NETWORK NODE",82.68,71.65,11.45,-0.42
"D","06/30/2021","01","326","UN.ALTRESCO13.8ALTR","NETWORK NODE",70.66,71.65,-0.16,-0.83
"D","06/30/2021","01","327","UN.EDDY    34.5AMOS","NETWORK NODE",71.44,71.65,-0.16,-0.05
"D","06/30/2021","01","328","UN.GULFISLD34.5GULF","NETWORK NODE",72.15,71.65,-0.16,0.66
"D","06/30/2021","01","329","UN.ASCUTNEY46  ASCU","NETWORK NODE",73.37,71.65,-0.16,1.88
"D","06/30/2021","01","330","UN.PEMIGWAS34.5AYER","NETWORK NODE",72.94,71.65,-0.17,1.46
"D","06/30/2021","01","331","UN.ROXBURY 34.5AZIS","NETWORK NODE",72.47,71.65,-0.16,0.98
"D","06/30/2021","01","335","UN.BELLWSFL6.9 BELL","NETWORK NODE",72.97,71.65,-0.16,1.48
"D","06/30/2021","01","336","UN.BERLINVT34.5BERL","NETWORK NODE",73.07,71.65,-0.16,1.58
"D","06/30/2021","01","337","UN.WHITEFLD34.5BETH","NETWORK NODE",70.26,71.65,-0.16,-1.23
"D","06/30/2021","01","341","UN.PEQUONCK13.8BHR4","NETWORK NODE",69.02,71.65,-0.67,-1.96
"D","06/30/2021","01","345","UN.9DRAGONS115 BOIS","NETWORK NODE",72.47,71.65,-0.16,0.98
"D","06/30/2021","01","346","UN.MIDDLESX34.5BOLT","NETWORK NODE",73.19,71.65,-0.16,1.7
"D","06/30/2021","01","348","UN.PERRY_ST13.8BOOT","NETWORK NODE",71.68,71.65,-0.17,0.2
"D","06/30/2021","01","349","UN.BPT_RESC13.8BPTR","NETWORK NODE",69.05,71.65,-0.67,-1.93
"D","06/30/2021","01","355","UN.BRANFORD23  BRAN","NETWORK NODE",70.17,71.65,-0.67,-0.81
"D","06/30/2021","01","356","UN.FORESTVL13.8BRF","NETWORK NODE",69.46,71.65,-0.65,-1.54
"D","06/30/2021","01","357","UN.ASHLAND 34.5BRID","NETWORK NODE",73.07,71.65,-0.17,1.59
"D","06/30/2021","01","358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",72.45,71.65,-0.16,0.96
"D","06/30/2021","01","359","UN.BEARSWMP13.8BSW1","NETWORK NODE",70.42,71.65,-0.16,-1.07
"D","06/30/2021","01","360","UN.BEARSWMP13.8BSW2","NETWORK NODE",70.42,71.65,-0.16,-1.07
"D","06/30/2021","01","362","UN.BULLSBDG27.6BULL","NETWORK NODE",69.29,71.65,-0.65,-1.71
"D","06/30/2021","01","363","UN.QUEENCTY13.8BURL","NETWORK NODE",73.11,71.65,-0.15,1.61
"D","06/30/2021","01","365","UN.CANAL   18.0CAN1","NETWORK NODE",71.68,71.65,0.22,-0.19
"D","06/30/2021","01","366","UN.CANAL   18.0CAN2","NETWORK NODE",71.68,71.65,0.22,-0.19
"D","06/30/2021","01","367","UN.CAPE    13.2CAP4","NETWORK NODE",72.88,71.65,-0.16,1.39
"D","06/30/2021","01","368","UN.CAPE    13.2CAP5","NETWORK NODE",72.88,71.65,-0.16,1.39
"D","06/30/2021","01","369","UN.LOUDEN  34.5CATR","NETWORK NODE",72.41,71.65,-0.16,0.92
"D","06/30/2021","01","370","UN.COSCOB  13.8CC10","NETWORK NODE",69.89,71.65,-0.67,-1.09
"D","06/30/2021","01","371","UN.COSCOB  13.8CC11","NETWORK NODE",69.89,71.65,-0.67,-1.09
"D","06/30/2021","01","372","UN.COSCOB  13.8CC12","NETWORK NODE",69.89,71.65,-0.67,-1.09
"D","06/30/2021","01","375","UN.TAUNTON 13.8CL9C","NETWORK NODE",72.94,71.65,1.24,0.05
"D","06/30/2021","01","376","UN.TAUNTON 13.8CLE8","NETWORK NODE",72.94,71.65,1.24,0.05
"D","06/30/2021","01","379","UN.COBBLEMT69  COBB","NETWORK NODE",70.82,71.65,-0.42,-0.41
"D","06/30/2021","01","382","UN.MERIMACK13.8CT-1","NETWORK NODE",70.64,71.65,-0.16,-0.85
"D","06/30/2021","01","383","UN.MERIMACK13.8CT-2","NETWORK NODE",70.64,71.65,-0.16,-0.85
"D","06/30/2021","01","388","UN.DARTMTH 13.8DART","NETWORK NODE",72.49,71.65,1.34,-0.5
