"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20210610.csv"
"C","Report for: 06/10/2021 - 06/10/2021"
"C","Report generated: 06/09/2021 12:44:14 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","06/10/2021","01","321","UN.FRNKLNSQ13.810CC","NETWORK NODE",28.99,28.78,0.34,-0.13
"D","06/10/2021","01","322","UN.FRNKLNSQ13.811CC","NETWORK NODE",28.99,28.78,0.34,-0.13
"D","06/10/2021","01","323","UN.FRNKLNSQ13.89CC","NETWORK NODE",28.99,28.78,0.34,-0.13
"D","06/10/2021","01","326","UN.ALTRESCO13.8ALTR","NETWORK NODE",28.56,28.78,0.07,-0.29
"D","06/10/2021","01","327","UN.EDDY    34.5AMOS","NETWORK NODE",29.0,28.78,0.07,0.15
"D","06/10/2021","01","328","UN.GULFISLD34.5GULF","NETWORK NODE",28.46,28.78,0.07,-0.39
"D","06/10/2021","01","329","UN.ASCUTNEY46  ASCU","NETWORK NODE",29.33,28.78,0.07,0.48
"D","06/10/2021","01","330","UN.PEMIGWAS34.5AYER","NETWORK NODE",29.15,28.78,0.07,0.3
"D","06/10/2021","01","331","UN.ROXBURY 34.5AZIS","NETWORK NODE",28.19,28.78,0.07,-0.66
"D","06/10/2021","01","335","UN.BELLWSFL6.9 BELL","NETWORK NODE",29.16,28.78,0.07,0.31
"D","06/10/2021","01","336","UN.BERLINVT34.5BERL","NETWORK NODE",29.17,28.78,0.07,0.32
"D","06/10/2021","01","337","UN.WHITEFLD34.5BETH","NETWORK NODE",27.94,28.78,0.07,-0.91
"D","06/10/2021","01","341","UN.PEQUONCK13.8BHR4","NETWORK NODE",28.24,28.78,0.06,-0.6
"D","06/10/2021","01","345","UN.9DRAGONS115 BOIS","NETWORK NODE",28.19,28.78,0.07,-0.66
"D","06/10/2021","01","346","UN.MIDDLESX34.5BOLT","NETWORK NODE",29.19,28.78,0.07,0.34
"D","06/10/2021","01","348","UN.PERRY_ST13.8BOOT","NETWORK NODE",28.95,28.78,0.07,0.1
"D","06/10/2021","01","349","UN.BPT_RESC13.8BPTR","NETWORK NODE",28.24,28.78,0.06,-0.6
"D","06/10/2021","01","355","UN.BRANFORD23  BRAN","NETWORK NODE",28.61,28.78,0.06,-0.23
"D","06/10/2021","01","356","UN.FORESTVL13.8BRF","NETWORK NODE",28.36,28.78,0.06,-0.48
"D","06/10/2021","01","357","UN.ASHLAND 34.5BRID","NETWORK NODE",29.05,28.78,0.07,0.2
"D","06/10/2021","01","358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",28.6,28.78,0.07,-0.25
