"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/3/2021 12 a.m. CST",5050,339,647,789,117,1048,280,1753,377,1841,3413,1319,3297,543,3463,3659,1020
SWPP,"2/3/2021 1 a.m. CST",5002,329,641,798,114,1033,270,1708,363,1816,3380,1280,3252,533,3383,3589,1015
SWPP,"2/3/2021 2 a.m. CST",5006,325,639,792,113,1025,266,1694,357,1822,3355,1261,3213,525,3347,3555,1018
SWPP,"2/3/2021 3 a.m. CST",5055,325,645,795,112,1030,261,1695,355,1813,3365,1258,3204,523,3341,3551,1021
SWPP,"2/3/2021 4 a.m. CST",5123,328,658,798,113,1040,264,1712,357,1800,3358,1260,3196,525,3337,3551,1034
SWPP,"2/3/2021 5 a.m. CST",5290,336,677,793,116,1059,269,1759,364,1851,3431,1288,3229,536,3406,3628,1045
SWPP,"2/3/2021 6 a.m. CST",5683,361,722,757,123,1115,282,1868,391,1966,3606,1356,3336,567,3529,3755,1087
SWPP,"2/3/2021 7 a.m. CST",6198,395,782,756,134,1213,301,2044,432,2123,3898,1457,3495,614,3849,3903,1158
SWPP,"2/3/2021 8 a.m. CST",6379,412,809,766,139,1250,308,2135,462,2206,4075,1532,3601,638,4038,4061,1188
SWPP,"2/3/2021 9 a.m. CST",6228,410,771,758,137,1221,304,2105,457,2148,4038,1524,3559,643,4016,4074,1146
SWPP,"2/3/2021 10 a.m. CST",5878,399,720,744,133,1148,299,2005,437,2101,3900,1497,3509,643,3880,4040,1091
SWPP,"2/3/2021 11 a.m. CST",5578,388,679,740,126,1092,292,1922,424,2028,3792,1479,3480,627,3773,4025,1048
SWPP,"2/3/2021 12 p.m. CST",5277,378,629,732,122,1058,286,1874,413,1936,3682,1456,3449,627,3711,4022,986
SWPP,"2/3/2021 1 p.m. CST",5038,367,600,700,118,1020,278,1827,405,1823,3611,1427,3420,620,3609,3957,938
SWPP,"2/3/2021 2 p.m. CST",4875,359,575,694,115,987,277,1784,397,1775,3549,1408,3393,612,3525,3889,908
