"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/7/2021 12 p.m. CST",5791,428,841,726,160,1517,323,2544,503,2321,4075,1623,3492,626,4282,4496,1258
SWPP,"2/7/2021 1 p.m. CST",5715,428,831,721,165,1519,325,2540,493,2279,4070,1629,3402,623,4262,4456,1244
SWPP,"2/7/2021 2 p.m. CST",5585,427,822,717,166,1515,325,2526,493,2270,4043,1622,3352,619,4222,4402,1221
SWPP,"2/7/2021 3 p.m. CST",5456,424,816,723,166,1501,326,2513,494,2248,4004,1612,3318,619,4206,4374,1195
SWPP,"2/7/2021 4 p.m. CST",5375,424,817,732,166,1507,324,2519,504,2283,4020,1632,3287,624,4209,4393,1180
SWPP,"2/7/2021 5 p.m. CST",5382,428,825,746,167,1514,325,2541,520,2312,4065,1684,3264,634,4258,4441,1185
SWPP,"2/7/2021 6 p.m. CST",5462,433,821,760,165,1499,326,2538,529,2358,4116,1720,3244,641,4250,4515,1192
SWPP,"2/7/2021 7 p.m. CST",5608,425,807,759,162,1470,327,2496,525,2371,4151,1724,3263,646,4209,4597,1225
SWPP,"2/7/2021 8 p.m. CST",5686,416,794,747,162,1454,324,2456,515,2357,4123,1708,3349,652,4168,4601,1260
SWPP,"2/7/2021 9 p.m. CST",5676,408,782,746,158,1429,321,2412,506,2330,4086,1681,3322,638,4121,4592,1278
SWPP,"2/7/2021 10 p.m. CST",5629,405,776,743,155,1416,318,2386,496,2309,4021,1654,3295,623,4099,4559,1279
SWPP,"2/7/2021 11 p.m. CST",5455,395,747,730,150,1388,313,2320,478,2272,3893,1597,3241,599,4049,4484,1226
SWPP,"2/8/2021 12 a.m. CST",5396,391,737,725,149,1379,311,2294,471,2239,3864,1574,3215,591,4009,4457,1210
SWPP,"2/8/2021 1 a.m. CST",5093,369,689,756,141,1313,298,2190,445,2179,3644,1491,3210,572,3825,4359,1157
SWPP,"2/8/2021 2 a.m. CST",5078,363,680,713,139,1304,294,2162,440,2177,3586,1480,3190,565,3794,4351,1147
SWPP,"2/8/2021 3 a.m. CST",5083,362,684,702,137,1289,293,2153,439,2217,3554,1482,3200,563,3774,4341,1137
SWPP,"2/8/2021 4 a.m. CST",5134,364,694,708,137,1309,293,2165,442,2251,3588,1494,3234,565,3799,4374,1138
SWPP,"2/8/2021 5 a.m. CST",5262,368,719,716,139,1330,296,2193,454,2295,3652,1529,3284,571,3851,4444,1156
SWPP,"2/8/2021 6 a.m. CST",5551,387,758,736,143,1377,307,2290,485,2395,3829,1611,3393,595,3974,4581,1202
SWPP,"2/8/2021 7 a.m. CST",6003,418,809,761,150,1443,320,2425,528,2543,4130,1727,3563,627,4230,4809,1256
